"SiteCode","p","J","S","DA","k","quantil_p","kernel_type","kernel_code","dist_0","d","txt.file","U"
"BAuruc",0.769444718591026,1784,230,1784,0.0999999999999999,"2oT","laplace",2,2.36756861905189,7.88422389616578,"ref1425_BA_2296.txt",0.0125338
"BAuruc",0.769444718591026,1784,230,1784,0.0999999999999999,"2oT","laplace",2,2.36756861905189,7.88422389616578,"ref1425_BA_2296.txt",0.0121469
"BAuruc",0.769444718591026,1784,230,1784,0.0999999999999999,"2oT","laplace",2,2.36756861905189,7.88422389616578,"ref1425_BA_2296.txt",0.0125338
"BAuruc",0.769444718591026,1784,230,1784,0.0999999999999999,"2oT","laplace",2,2.36756861905189,7.88422389616578,"ref1425_BA_2296.txt",0.012683
"BAuruc",0.769444718591026,1784,230,1784,0.0999999999999999,"2oT","laplace",2,2.36756861905189,7.88422389616578,"ref1425_BA_2296.txt",0.012683
"BAuruc",0.769444718591026,1784,230,1784,0.0999999999999999,"2oT","laplace",2,2.36756861905189,7.88422389616578,"ref1425_BA_2296.txt",0.012683
"SCvolta1",0.975721531216037,1658,52,1658,0.0999999999999999,"3oT","laplace",2,2.45588336206301,8.10691513176194,"ref848_SC_1272.txt",0.00219972
"SCvolta1",0.975721531216037,1658,52,1658,0.0999999999999999,"3oT","laplace",2,2.45588336206301,8.10691513176194,"ref848_SC_1272.txt",0.00219972
"SCvolta1",0.975721531216037,1658,52,1658,0.0999999999999999,"3oT","laplace",2,2.45588336206301,8.10691513176194,"ref848_SC_1272.txt",0.00219972
"SCvolta1",0.975721531216037,1658,52,1658,0.0999999999999999,"3oT","laplace",2,2.45588336206301,8.10691513176194,"ref848_SC_1272.txt",0.00215899
"SCvolta1",0.975721531216037,1658,52,1658,0.0999999999999999,"3oT","laplace",2,2.45588336206301,8.10691513176194,"ref848_SC_1272.txt",0.00215899
"SCvolta1",0.975721531216037,1658,52,1658,0.0999999999999999,"3oT","laplace",2,2.45588336206301,8.10691513176194,"ref848_SC_1272.txt",0.00215899
"SCvolta1",0.975721531216037,1658,52,1658,0.0999999999999999,"3oT","laplace",2,2.45588336206301,8.10691513176194,"ref848_SC_1272.txt",0.00236749
"SCvolta1",0.975721531216037,1658,52,1658,0.0999999999999999,"3oT","laplace",2,2.45588336206301,8.10691513176194,"ref848_SC_1272.txt",0.00236749
