"SiteCode","MN","k","S_SAD.obs","GOF","p.value_mean","p.value_var","S_mean","S_var","p","J","S","DA","d","U_med","U_var"
"MGuberl5","EI",0.05,69,71,0.241936477738882,0.0693843781163882,8.94,7.18828282828283,0.00742437918995731,957,68,957,15.9048772783671,0.01691004,1.28058913777778e-07
"MGuberl5","EI",0.5,69,79,0.314675428743707,0.0764366486821578,2.65,1.96717171717172,0.00742437918995731,957,68,957,3.40059756613116,0.0144346,6.98297111111112e-08
"MGuberl5","EI",0.99,69,85,0.246573686226955,0.0226701855395021,1.5,0.535353535353535,0.00742437918995731,957,68,957,0.830243128435876,0.005415018,3.48661210666665e-09
"MGuberl7","EE",0.05,73,76,0.217983660477876,0.0487001584035535,73.43,77.3384848484849,0.0485476800383076,945,73,945,16.1484155165837,0.02002012,3.79010666666629e-10
"MGuberl7","EE",0.5,73,99,0.483242496703248,0.0633028780863153,74.13,57.8718181818182,0.0485476800383076,945,73,945,3.39595464831517,0.01642815,1.80816858333334e-07
"MGuberl7","EE",0.99,73,100,0.62484287101985,0.0626440837709148,73.2,62.8686868686869,0.0485476800383076,945,73,945,0.830694754922217,0.006461864,2.27848184266667e-08
"MGuberl7","EI",0.05,73,94,0.517744015122151,0.0971189235294548,41.89,33.0281818181818,0.0485476800383076,945,73,945,16.1484155165837,0.02002012,3.79010666666629e-10
"MGuberl7","EI",0.5,73,72,0.229268434500806,0.0576930213406307,10.72,7.49656565656566,0.0485476800383076,945,73,945,3.39595464831517,0.01642815,1.80816858333334e-07
"MGuberl7","EI",0.99,73,66,0.24377105873828,0.0734566407657114,3.68,2.3410101010101,0.0485476800383076,945,73,945,0.830694754922217,0.006461864,2.27848184266667e-08
"MGvico1","EE",0.05,94,94,0.49153382905763,0.09202822808022,93.01,89.4645454545455,0.23259121186371,1825,93,1825,11.6417468637537,0.01556226,1.11600684888889e-07
"MGvico1","EE",0.5,94,86,0.235415744824784,0.0486003653358929,93.8,74.5050505050505,0.23259121186371,1825,93,1825,2.45225687300333,0.008478029,2.93085334766666e-08
"MGvico1","EE",0.99,94,21,0.0389279363069856,0.0040418043181878,93.93,70.7122222222222,0.23259121186371,1825,93,1825,0.603747706663905,0.001846128,1.12457365511111e-08
"MGvico1","EI",0.05,94,100,0.564236637663649,0.0235480331039198,195.36,152.495353535354,0.23259121186371,1825,93,1825,11.6417468637537,0.01556226,1.11600684888889e-07
"MGvico1","EI",0.5,94,31,0.0564650088849644,0.00778869735798267,56.07,39.6617171717172,0.23259121186371,1825,93,1825,2.45225687300333,0.008478029,2.93085334766666e-08
"MGvico1","EI",0.99,94,27,0.0503469707695901,0.0101210378982066,17.47,17.0394949494949,0.23259121186371,1825,93,1825,0.603747706663905,0.001846128,1.12457365511111e-08
"MGvico16","EE",0.05,91,100,0.523482562033527,0.0824491629861329,90.94,71.1478787878788,0.21847289239375,1653,91,1653,12.2645675761314,0.009268673,2.92637785344444e-08
"MGvico16","EE",0.5,91,77,0.224449237482244,0.0467704863545559,90.64,62.8185858585859,0.21847289239375,1653,91,1653,2.57321417303925,0.006491457,1.00170451912222e-07
"MGvico16","EE",0.99,91,98,0.441558120298304,0.083799525006409,91.7,53.2222222222222,0.21847289239375,1653,91,1653,0.624144688946216,0.002843117,1.86292174233333e-08
"MGvico16","EI",0.05,91,100,0.557558170605334,0.0143692758530196,176.45,153.84595959596,0.21847289239375,1653,91,1653,12.2645675761314,0.009268673,2.92637785344444e-08
"MGvico16","EI",0.5,91,48,0.118023070453958,0.034771405831404,48,31.6969696969697,0.21847289239375,1653,91,1653,2.57321417303925,0.006491457,1.00170451912222e-07
"MGvico16","EI",0.99,91,40,0.0854406584698502,0.016741427733675,15.52,16.3733333333333,0.21847289239375,1653,91,1653,0.624144688946216,0.002843117,1.86292174233333e-08
"MGvico8","EE",0.05,234,66,0.188651479625143,0.0498517235700636,195.3,165.121212121212,0.313668812302999,2303,195,2303,10.397439874349,0.01390211,5.23572876666666e-08
"MGvico8","EE",0.5,234,29,0.0593845713377837,0.0134406790729327,197.25,122.977272727273,0.313668812302999,2303,195,2303,2.18145074039191,0.0122986,1.97281108888889e-07
"MGvico8","EE",0.99,234,100,0.684407674416733,0.0833074462530582,195.01,137.626161616162,0.313668812302999,2303,195,2303,0.532508844824945,0.006638243,6.89749153444445e-09
"MGvico8","EI",0.05,234,100,0.765990271877144,0.0473470551703432,280.41,234.991818181818,0.313668812302999,2303,195,2303,10.397439874349,0.01390211,5.23572876666666e-08
"MGvico8","EI",0.5,234,13,0.0183879356140578,0.00126202658802286,80.43,56.0253535353535,0.313668812302999,2303,195,2303,2.18145074039191,0.0122986,1.97281108888889e-07
"MGvico8","EI",0.99,234,12,0.034026637040875,0.014617751196146,25.56,23.0165656565657,0.313668812302999,2303,195,2303,0.532508844824945,0.006638243,6.89749153444445e-09
"MSdour","EE",0.05,80,5,0.0123603242969627,0.00177249258062504,74.9,80.1919191919192,0.116734787274334,1016,74,1016,15.6236129449758,0.007213682,3.173418904e-08
"MSdour","EE",0.5,80,100,0.71942478633811,0.069271624463269,73.18,55.4420202020202,0.116734787274334,1016,74,1016,3.29358407924803,0.007448029,2.04044012544444e-08
"MSdour","EE",0.99,80,99,0.678577486286556,0.0714863915917352,74.35,61.239898989899,0.116734787274334,1016,74,1016,0.804469118225193,0.002939679,3.21149080322222e-08
"MSdour","EI",0.05,80,100,0.592531686894103,0.0863692195685857,82.84,63.3478787878788,0.116734787274334,1016,74,1016,15.6236129449758,0.007213682,3.173418904e-08
"MSdour","EI",0.5,80,72,0.176920458844452,0.036380195719301,23.02,19.6763636363636,0.116734787274334,1016,74,1016,3.29358407924803,0.007448029,2.04044012544444e-08
"MSdour","EI",0.99,80,71,0.226697438801702,0.0739162085348242,7.05,4.39141414141414,0.116734787274334,1016,74,1016,0.804469118225193,0.002939679,3.21149080322222e-08
"PEalia","EE",0.05,79,100,0.758986602003564,0.0675634300399852,61.08,53.5288888888889,0.114091406447269,595,60,595,20.3324888004708,0.01176712,1.84713804e-07
"PEalia","EE",0.5,79,100,0.751028974067917,0.0606773127810452,60.91,46.4059595959596,0.114091406447269,595,60,595,4.29264597153747,0.01790501,8.56181343333332e-08
"PEalia","EE",0.99,79,100,0.752377897615759,0.0555696035987051,60.63,32.3162626262626,0.114091406447269,595,60,595,1.05996590128052,0.005856408,1.29075826706667e-07
"PEalia","EI",0.05,79,100,0.728986813697718,0.0502768286527492,61.39,32.8059595959596,0.114091406447269,595,60,595,20.3324888004708,0.01176712,1.84713804e-07
"PEalia","EI",0.5,79,53,0.143136234573327,0.0363914983306469,16.91,14.769595959596,0.114091406447269,595,60,595,4.29264597153747,0.01790501,8.56181343333332e-08
"PEalia","EI",0.99,79,65,0.199306897997689,0.0584002767914073,5.12,3.15717171717172,0.114091406447269,595,60,595,1.05996590128052,0.005856408,1.29075826706667e-07
"PEmata2","EE",0.05,88,100,0.846511262953123,0.0423140755658536,72.74,65.2044444444444,0.21628955738904,1076,75,1076,15.3646410304841,0.007042738,1.2605719964e-07
"PEmata2","EE",0.5,88,100,0.686309786600757,0.0722163370329076,73.38,49.7127272727273,0.21628955738904,1076,75,1076,3.18682574388386,0.008610392,8.15197186222229e-09
"PEmata2","EE",0.99,88,87,0.276036747826198,0.0604896321568095,75.35,50.6944444444444,0.21628955738904,1076,75,1076,0.778390868681794,0.003059572,3.37200887288889e-08
"PEmata2","EI",0.05,88,100,0.74953206186455,0.0151732707041999,136.24,93.3559595959596,0.21628955738904,1076,75,1076,15.3646410304841,0.007042738,1.2605719964e-07
"PEmata2","EI",0.5,88,59,0.158762860466853,0.0506702347750361,37.72,30.9107070707071,0.21628955738904,1076,75,1076,3.18682574388386,0.008610392,8.15197186222229e-09
"PEmata2","EI",0.99,88,53,0.147547972277486,0.040408345832454,11.7,8.51515151515152,0.21628955738904,1076,75,1076,0.778390868681794,0.003059572,3.37200887288889e-08
"PEsvfer","EE",0.05,120,49,0.0949115590230654,0.0168884744841619,91.2,99.2929292929293,0.636673590338369,1288,91,1288,13.8842306321084,0.006799355,1.31714443094444e-07
"PEsvfer","EE",0.5,120,100,0.795300682846097,0.0525319425660203,90.9,68.8787878787879,0.636673590338369,1288,91,1288,2.90890620925512,0.008189361,3.85961769211112e-08
"PEsvfer","EE",0.99,120,98,0.670136127251048,0.0782858793974956,88.85,78.3712121212121,0.636673590338369,1288,91,1288,0.720084969257465,0.003026372,3.23064856844444e-08
"PEsvfer","EI",0.05,120,0,8.28895316373457e-05,1.61071647620854e-08,309.98,227.959191919192,0.636673590338369,1288,91,1288,13.8842306321084,0.006799355,1.31714443094444e-07
"PEsvfer","EI",0.5,120,100,0.821789368834898,0.0366208420907679,97.79,74.41,0.636673590338369,1288,91,1288,2.90890620925512,0.008189361,3.85961769211112e-08
"PEsvfer","EI",0.99,120,63,0.160785694377569,0.0426075273585112,31.94,20.2993939393939,0.636673590338369,1288,91,1288,0.720084969257465,0.003026372,3.23064856844444e-08
"PRanto10","EE",0.05,137,100,0.452588069149578,0.0311995606038211,131.32,132.64404040404,0.923024383580357,1877,132,1877,11.5272470725038,0.004100534,1.04804250711111e-08
"PRanto10","EE",0.5,137,17,0.0274188618445135,0.00162001867391831,131.17,101.677878787879,0.923024383580357,1877,132,1877,2.41323903135901,0.008232359,2.53871531476667e-07
"PRanto10","EE",0.99,137,19,0.0300976515527296,0.00196061158118017,134.22,77.6076767676768,0.923024383580357,1877,132,1877,0.587266177015548,0.003114209,2.06641234322222e-08
"PRanto10","EI",0.05,137,0,0.002004443161283,2.51193480754326e-06,497.24,278.446868686869,0.923024383580357,1877,132,1877,11.5272470725038,0.004100534,1.04804250711111e-08
"PRanto10","EI",0.5,137,87,0.273116949142145,0.0423238730573909,160.43,125.924343434343,0.923024383580357,1877,132,1877,2.41323903135901,0.008232359,2.53871531476667e-07
"PRanto10","EI",0.99,137,15,0.032427072617217,0.00628662801365781,53.27,39.6940404040404,0.923024383580357,1877,132,1877,0.587266177015548,0.003114209,2.06641234322222e-08
"PRanto11","EE",0.05,102,96,0.318609887819322,0.0354906326159819,98.53,84.5344444444444,0.921209867560648,1740,99,1740,11.9125381423777,0.003160991,8.63287021000001e-09
"PRanto11","EE",0.5,102,84,0.225586768868754,0.0462626158202648,98.96,61.8973737373737,0.921209867560648,1740,99,1740,2.50806390227806,0.00568396,1.48657051533333e-07
"PRanto11","EE",0.99,102,95,0.380332707848974,0.067630070487052,98.3,52.5353535353535,0.921209867560648,1740,99,1740,0.622540945954235,0.002371022,7.08383823999999e-09
"PRanto11","EI",0.05,102,0,3.21309944127701e-05,1.71367290830331e-09,470.24,255.537777777778,0.921209867560648,1740,99,1740,11.9125381423777,0.003160991,8.63287021000001e-09
"PRanto11","EI",0.5,102,100,0.814608895436967,0.0214438826833589,155.24,104.224646464646,0.921209867560648,1740,99,1740,2.50806390227806,0.00568396,1.48657051533333e-07
"PRanto11","EI",0.99,102,78,0.248470986916763,0.0594158121212604,51.68,46.6440404040404,0.921209867560648,1740,99,1740,0.622540945954235,0.002371022,7.08383823999999e-09
"PRanto12","EE",0.05,155,88,0.262850098204832,0.0474767289888149,145.03,98.2112121212121,0.974966068885724,1439,143,1439,13.1232195585372,0.006472714,1.47775761377778e-08
"PRanto12","EE",0.5,155,99,0.673479295550778,0.0727064181445877,145.07,101.500101010101,0.974966068885724,1439,143,1439,2.7627855305133,0.01453755,5.44444398333333e-07
"PRanto12","EE",0.99,155,100,0.650364454172403,0.0867959583834127,142.14,92.6064646464646,0.974966068885724,1439,143,1439,0.667856391875624,0.004989617,2.20378448455555e-08
"PRanto12","EI",0.05,155,0,8.60965577128558e-07,3.34527337705145e-12,431.47,201.564747474747,0.974966068885724,1439,143,1439,13.1232195585372,0.006472714,1.47775761377778e-08
"PRanto12","EI",0.5,155,100,0.790514531867248,0.0546400807015049,145.82,94.229898989899,0.974966068885724,1439,143,1439,2.7627855305133,0.01453755,5.44444398333333e-07
"PRanto12","EI",0.99,155,36,0.0722939897790961,0.0111696406865877,48.24,31.6185858585859,0.974966068885724,1439,143,1439,0.667856391875624,0.004989617,2.20378448455555e-08
"PRanto13","EE",0.05,133,99,0.589189259926455,0.0788459332997488,128.27,124.88595959596,0.968871050376109,1673,127,1673,12.2037079354179,0.005649636,2.450648696e-08
"PRanto13","EE",0.5,133,96,0.477637938565571,0.0813747705878523,128.51,79.5857575757576,0.968871050376109,1673,127,1673,2.55009155438798,0.009296307,2.34328537445556e-07
"PRanto13","EE",0.99,133,95,0.499153411251691,0.0973727860204865,126.62,97.7531313131313,0.968871050376109,1673,127,1673,0.631078953232639,0.003398535,1.522154185e-08
"PRanto13","EI",0.05,133,0,1.94660193252916e-05,8.35255359949597e-10,473.52,299.322828282828,0.968871050376109,1673,127,1673,12.2037079354179,0.005649636,2.450648696e-08
"PRanto13","EI",0.5,133,100,0.883744634869923,0.0319477663497663,155.26,120.174141414141,0.968871050376109,1673,127,1673,2.55009155438798,0.009296307,2.34328537445556e-07
"PRanto13","EI",0.99,133,47,0.0934074551897825,0.0118048922506908,52.15,36.5126262626263,0.968871050376109,1673,127,1673,0.631078953232639,0.003398535,1.522154185e-08
"PRanto15","EE",0.05,143,84,0.358335831117903,0.0837385975190352,136.75,115.260101010101,0.942009596537872,1650,140,1650,12.2074207963308,0.005320471,5.30151391433334e-08
"PRanto15","EE",0.5,143,100,0.810314715758567,0.0468649561240966,137.74,82.8610101010101,0.942009596537872,1650,140,1650,2.57590842913561,0.010749399,4.21598312498889e-07
"PRanto15","EE",0.99,143,100,0.818312632669083,0.0460613041046983,139.56,87.1579797979798,0.942009596537872,1650,140,1650,0.633466635259518,0.004027357,4.79830497122222e-08
"PRanto15","EI",0.05,143,0,7.94396909609141e-08,3.65854421224917e-14,462.49,246.373636363636,0.942009596537872,1650,140,1650,12.2074207963308,0.005320471,5.30151391433334e-08
"PRanto15","EI",0.5,143,99,0.662203038114432,0.0844666895864186,151.5,107.545454545455,0.942009596537872,1650,140,1650,2.57590842913561,0.010749399,4.21598312498889e-07
"PRanto15","EI",0.99,143,50,0.0941828556696437,0.022121281672132,50.21,28.8544444444444,0.942009596537872,1650,140,1650,0.633466635259518,0.004027357,4.79830497122222e-08
"PRanto4","EE",0.05,129,94,0.348328324506487,0.0672687512999547,121.75,96.6540404040404,0.9079979592893,1896,119,1896,11.3868145195842,0.004870711,9.5233443211111e-09
"PRanto4","EE",0.5,129,100,0.746128507991316,0.0692811406075619,118.72,61.3753535353535,0.9079979592893,1896,119,1896,2.39058978875995,0.006943779,5.46680643877779e-08
"PRanto4","EE",0.99,129,100,0.815179742538038,0.0487957073496382,118.13,52.8617171717172,0.9079979592893,1896,119,1896,0.590255006215033,0.002476708,2.59237102177778e-08
"PRanto4","EI",0.05,129,0,2.39447168615126e-08,3.07245891408829e-15,495.89,331.21,0.9079979592893,1896,119,1896,11.3868145195842,0.004870711,9.5233443211111e-09
"PRanto4","EI",0.5,129,98,0.479179369360113,0.0786638960299509,160.26,120.921616161616,0.9079979592893,1896,119,1896,2.39058978875995,0.006943779,5.46680643877779e-08
"PRanto4","EI",0.99,129,79,0.252555554299012,0.0568467452795743,53.52,35.7066666666667,0.9079979592893,1896,119,1896,0.590255006215033,0.002476708,2.59237102177778e-08
"PRanto5","EE",0.05,128,99,0.794276199607272,0.057248996340849,125.64,97.000404040404,0.896644888231427,1753,124,1753,11.8200692274669,0.00447744,3.24419460888889e-08
"PRanto5","EE",0.5,128,85,0.326916455372827,0.0769715409359441,124.9,78.8585858585859,0.896644888231427,1753,124,1753,2.50690459007084,0.008363912,3.07644191017778e-07
"PRanto5","EE",0.99,128,88,0.37544754641267,0.0925747736979469,124.66,69.7418181818182,0.896644888231427,1753,124,1753,0.619430899352478,0.002994482,7.05162357333333e-09
"PRanto5","EI",0.05,128,0,1.66167308691822e-05,1.71315860914748e-09,465.19,265.246363636364,0.896644888231427,1753,124,1753,11.8200692274669,0.00447744,3.24419460888889e-08
"PRanto5","EI",0.5,128,100,0.781047114741405,0.0608220309045294,151.54,125.038787878788,0.896644888231427,1753,124,1753,2.50690459007084,0.008363912,3.07644191017778e-07
"PRanto5","EI",0.99,128,57,0.132816765974583,0.0288199471110461,52.15,47.8257575757576,0.896644888231427,1753,124,1753,0.619430899352478,0.002994482,7.05162357333333e-09
"PRanto6","EE",0.05,132,100,0.565920267896288,0.0966933059896648,130.59,94.4059595959596,0.906465210449369,1665,128,1665,12.4361312015137,0.005479239,1.0383709861e-07
"PRanto6","EE",0.5,132,100,0.52880107010651,0.074037939023928,129.98,64.4844444444444,0.906465210449369,1665,128,1665,2.56768581060461,0.009651377,9.91238800677777e-08
"PRanto6","EE",0.99,132,99,0.585611253546964,0.0710128663358397,129.35,81.1792929292929,0.906465210449369,1665,128,1665,0.630356099756747,0.003397405,3.23606710055556e-08
"PRanto6","EI",0.05,132,0,1.10438487222697e-06,1.98930670631458e-11,459.98,356.807676767677,0.906465210449369,1665,128,1665,12.4361312015137,0.005479239,1.0383709861e-07
"PRanto6","EI",0.5,132,99,0.750872474093603,0.0676303278736853,146.33,101.940505050505,0.906465210449369,1665,128,1665,2.56768581060461,0.009651377,9.91238800677777e-08
"PRanto6","EI",0.99,132,65,0.156946266877727,0.0327631768632911,48.98,35.1309090909091,0.906465210449369,1665,128,1665,0.630356099756747,0.003397405,3.23606710055556e-08
"PRanto8","EE",0.05,144,55,0.138748021166168,0.0308531861424789,133.49,116.777676767677,0.955077166221669,1504,134,1504,12.7546763363672,0.004981276,1.54595007377777e-08
"PRanto8","EE",0.5,144,99,0.524554399359543,0.0746961025429205,131.15,76.5530303030303,0.955077166221669,1504,134,1504,2.70220855027984,0.01154157,1.92551795666667e-07
"PRanto8","EE",0.99,144,99,0.582576188356001,0.076439728243911,132.11,82.8867676767677,0.955077166221669,1504,134,1504,0.666709757408329,0.004207475,2.69414299611111e-08
"PRanto8","EI",0.05,144,0,3.02905348107397e-07,1.62094953192526e-12,435.11,293.876666666667,0.955077166221669,1504,134,1504,12.7546763363672,0.004981276,1.54595007377777e-08
"PRanto8","EI",0.5,144,99,0.673894019439309,0.082795751030629,145.7,108.494949494949,0.955077166221669,1504,134,1504,2.70220855027984,0.01154157,1.92551795666667e-07
"PRanto8","EI",0.99,144,34,0.0732106940639392,0.0135781492933821,49.35,34.9974747474747,0.955077166221669,1504,134,1504,0.666709757408329,0.004207475,2.69414299611111e-08
