SiteCode,k,S_obs,kernel_code,d,txt.name,U,.n
BAuruc,0.99,458,2,0.511172191794074,ref1425_NA_2296.txt,NA,1
BAuruc,0.99,458,2,0.511172191794074,ref1425_NA_2296.txt,NA,2
BAuruc,0.99,458,2,0.511172191794074,ref1425_NA_2296.txt,NA,3
BAuruc,0.99,458,2,0.511172191794074,ref1425_NA_2296.txt,NA,4
BAuruc,0.99,458,2,0.511172191794074,ref1425_NA_2296.txt,NA,5
BAuruc,0.99,458,2,0.511172191794074,ref1425_NA_2296.txt,NA,6
BAuruc,0.99,458,2,0.511172191794074,ref1425_NA_2296.txt,NA,7
BAuruc,0.99,458,2,0.511172191794074,ref1425_NA_2296.txt,NA,8
BAuruc,0.99,458,2,0.511172191794074,ref1425_NA_2296.txt,NA,9
BAuruc,0.99,458,2,0.511172191794074,ref1425_NA_2296.txt,NA,10
BAuruc,0.95,458,2,0.72395861434773,ref1425_NA_2296.txt,NA,11
BAuruc,0.95,458,2,0.72395861434773,ref1425_NA_2296.txt,NA,12
BAuruc,0.95,458,2,0.72395861434773,ref1425_NA_2296.txt,NA,13
BAuruc,0.95,458,2,0.72395861434773,ref1425_NA_2296.txt,NA,14
BAuruc,0.95,458,2,0.72395861434773,ref1425_NA_2296.txt,NA,15
BAuruc,0.95,458,2,0.72395861434773,ref1425_NA_2296.txt,NA,16
BAuruc,0.95,458,2,0.72395861434773,ref1425_NA_2296.txt,NA,17
BAuruc,0.95,458,2,0.72395861434773,ref1425_NA_2296.txt,NA,18
BAuruc,0.95,458,2,0.72395861434773,ref1425_NA_2296.txt,NA,19
BAuruc,0.95,458,2,0.72395861434773,ref1425_NA_2296.txt,NA,20
BAuruc,0.9,458,2,0.883897557075482,ref1425_NA_2296.txt,NA,21
BAuruc,0.9,458,2,0.883897557075482,ref1425_NA_2296.txt,NA,22
BAuruc,0.9,458,2,0.883897557075482,ref1425_NA_2296.txt,NA,23
BAuruc,0.9,458,2,0.883897557075482,ref1425_NA_2296.txt,NA,24
BAuruc,0.9,458,2,0.883897557075482,ref1425_NA_2296.txt,NA,25
BAuruc,0.9,458,2,0.883897557075482,ref1425_NA_2296.txt,NA,26
BAuruc,0.9,458,2,0.883897557075482,ref1425_NA_2296.txt,NA,27
BAuruc,0.9,458,2,0.883897557075482,ref1425_NA_2296.txt,NA,28
BAuruc,0.9,458,2,0.883897557075482,ref1425_NA_2296.txt,NA,29
BAuruc,0.9,458,2,0.883897557075482,ref1425_NA_2296.txt,NA,30
BAuruc,0.85,458,2,1.021051687238,ref1425_NA_2296.txt,NA,31
BAuruc,0.85,458,2,1.021051687238,ref1425_NA_2296.txt,NA,32
BAuruc,0.85,458,2,1.021051687238,ref1425_NA_2296.txt,NA,33
BAuruc,0.85,458,2,1.021051687238,ref1425_NA_2296.txt,NA,34
BAuruc,0.85,458,2,1.021051687238,ref1425_NA_2296.txt,NA,35
BAuruc,0.85,458,2,1.021051687238,ref1425_NA_2296.txt,NA,36
BAuruc,0.85,458,2,1.021051687238,ref1425_NA_2296.txt,NA,37
BAuruc,0.85,458,2,1.021051687238,ref1425_NA_2296.txt,NA,38
BAuruc,0.85,458,2,1.021051687238,ref1425_NA_2296.txt,NA,39
BAuruc,0.85,458,2,1.021051687238,ref1425_NA_2296.txt,NA,40
BAuruc,0.8,458,2,1.15747399264993,ref1425_NA_2296.txt,NA,41
BAuruc,0.8,458,2,1.15747399264993,ref1425_NA_2296.txt,NA,42
BAuruc,0.8,458,2,1.15747399264993,ref1425_NA_2296.txt,NA,43
BAuruc,0.8,458,2,1.15747399264993,ref1425_NA_2296.txt,NA,44
BAuruc,0.8,458,2,1.15747399264993,ref1425_NA_2296.txt,NA,45
BAuruc,0.8,458,2,1.15747399264993,ref1425_NA_2296.txt,NA,46
BAuruc,0.8,458,2,1.15747399264993,ref1425_NA_2296.txt,NA,47
BAuruc,0.8,458,2,1.15747399264993,ref1425_NA_2296.txt,NA,48
BAuruc,0.8,458,2,1.15747399264993,ref1425_NA_2296.txt,NA,49
