"","SiteCode","p","J","S","DA","k","quantil_p","kernel_type","kernel_code","dist_0","d","txt.file"
"358","RSmorr1",0.658177286403532,2810,109,2810,0.8,"2oT","laplace","2",1.88645669476136,1.09798924820309,"ref684_RS_1047.txt"
"359","SPpesmA",0.658259844116084,1670,84,1670,0.8,"2oT","laplace","2",2.44704392116198,1.42070597846096,"ref934_SP_1436.txt"
"360","RSvsol",0.666613829015203,1855,55,1855,0.8,"2oT","laplace","2",2.32181730106286,1.34821775437263,"ref618_RS_968.txt"
"361","SPeec5",0.67888901166382,1107,74,1107,0.8,"2oT","laplace","2",3.00556544889144,1.7555619279143,"ref2561_SP_3864.txt"
"362","SCside1",0.680355725623583,1413,111,1413,0.8,"2oT","laplace","2",2.66028961489207,1.54926005826392,"ref2572_SC_3878.txt"
"363","RSpet1",0.722472122747256,826,69,826,0.8,"2oT","laplace","2",3.47944500319611,2.02584587694842,"ref677_RS_1040.txt"
"364","SCside",0.72254784514244,1712,105,1712,0.8,"2oT","laplace","2",2.41684122261416,1.4061879709788,"ref813_SC_1230.txt"
"365","MGarap1",0.728749442631224,2080,92,2080,0.8,"2oT","laplace","2",2.19264504826757,1.27530992633645,"ref238_MG_321.txt"
"366","RSsini",0.73052961024989,1024,69,1024,0.8,"2oT","laplace","2",3.125,1.82059600947963,"ref741_RS_1124.txt"
"367","SPeec1",0.743179321289062,12105,144,1182.12890625,0.8,"2oT","laplace","2",2.90849004346246,1.69474212056184,"ref936_SP_1440.txt"
"368","BAuruc",0.769444718591026,1784,230,1784,0.8,"2oT","laplace","2",2.36756861905189,1.37744833719974,"ref1425_BA_2296.txt"
"369","SPcara3",0.773104012947153,1674,130,1674,0.8,"2oT","laplace","2",2.44411858368922,1.42149026281023,"ref1124_SP_1704.txt"
"370","MGperd1",0.806018045548929,2965,127,2470.83333333333,0.8,"2oT","laplace","2",2.01176975271592,1.16705836186202,"ref2564_MG_3870.txt"
"371","SPcara1",0.850156308651023,2127,171,2127,0.8,"2oT","laplace","2",2.16828444900803,1.25691076224071,"ref1124_SP_1703.txt"
"372","BAjuss",0.859421049020215,1198,182,1198,0.8,"2oT","laplace","2",2.88915998328494,1.68472170662524,"ref1426_BA_2297.txt"
"373","SCilho2",0.884932951426624,1738,157,1738,0.8,"3oT","laplace","2",2.39869546440458,1.39600165289888,"ref847_SC_1271.txt"
"374","PRanto5",0.896644888231427,1753,124,1753,0.8,"3oT","laplace","2",2.38841088596216,1.39067575380503,"ref2714_PR_4207.txt"
"375","SCilho",0.899939351991448,1169,135,1169,0.8,"3oT","laplace","2",2.92477690287062,1.6951039957111,"ref842_SC_1266.txt"
"376","PRanto6",0.906465210449369,1665,128,1665,0.8,"3oT","laplace","2",2.45071540697936,1.42941246692704,"ref2714_PR_4208.txt"
"377","PRanto4",0.9079979592893,1896,119,1896,0.8,"3oT","laplace","2",2.29657606087313,1.33596182196973,"ref2714_PR_4206.txt"
"378","SCtimbe1",0.915684800663396,3148,142,3148,0.8,"3oT","laplace","2",1.7823075144988,1.04538957579055,"ref873_SC_1327.txt"
"379","SCvolta2",0.916842703142202,2059,78,2059,0.8,"3oT","laplace","2",2.2037982136063,1.27995800499356,"ref870_SC_1324.txt"
"380","PRanto11",0.921209867560648,1740,99,1740,0.8,"3oT","laplace","2",2.39731650742692,1.40127823483308,"ref2714_PR_4213.txt"
"381","PRanto10",0.923024383580357,1877,132,1877,0.8,"3oT","laplace","2",2.30817038065365,1.3439683574621,"ref2714_PR_4212.txt"
"382","PRanto9",0.928261175571598,1594,134,1594,0.8,"3oT","laplace","2",2.50470072492812,1.45834515014389,"ref2714_PR_4211.txt"
"383","RSrioz1",0.92867367679881,1205,76,1205,0.8,"3oT","laplace","2",2.88075600957839,1.6799193173499,"ref658_RS_1018.txt"
"384","PRanto15",0.942009596537872,1650,140,1650,0.8,"3oT","laplace","2",2.46182981958665,1.43688560126957,"ref2714_PR_4217.txt"
"385","PRanto8",0.955077166221669,1504,134,1504,0.8,"3oT","laplace","2",2.57855311564698,1.49472457343803,"ref2714_PR_4210.txt"
"386","PRanto13",0.968871050376109,1673,127,1673,0.8,"3oT","laplace","2",2.4448489343954,1.4248410201788,"ref2714_PR_4215.txt"
"387","SPpei1",0.969241860061788,3060,165,1545.45454545455,0.8,"3oT","laplace","2",2.54373509534584,1.48064859339049,"ref893_SP_1356.txt"
"388","PRanto12",0.974966068885724,1439,143,1439,0.8,"3oT","laplace","2",2.63614687121482,1.53556891415985,"ref2714_PR_4214.txt"
"389","SCvolta1",0.975721531216037,1658,52,1658,0.8,"3oT","laplace","2",2.45588336206301,1.42453853281239,"ref848_SC_1272.txt"
"390","SPpesmF",0.977848996135357,1360,98,1360,0.8,"3oT","laplace","2",2.7116307227332,1.57950171514689,"ref928_SP_1428.txt"
"391","SPpesmB",0.978518078724858,1076,132,1076,0.8,"3oT","laplace","2",3.04855380424846,1.77267072789476,"ref934_SP_1435.txt"
"392","SPpesmC",0.983950458881778,1061,107,1061,0.8,"3oT","laplace","2",3.07002779922758,1.79479993285517,"ref1115_SP_1693.txt"
"393","SPpesmD",0.988788711304557,1262,148,1262,0.8,"3oT","laplace","2",2.81494764949788,1.64288676503073,"ref926_SP_1426.txt"
"394","SPpecb1",0.992253133238622,11507,221,1123.73046875,0.8,"3oT","laplace","2",2.98310762216623,1.73082932778176,"ref936_SP_1439.txt"
"395","SPpesmE",0.994366533447583,1225,138,1225,0.8,"3oT","laplace","2",2.85714285714286,1.66553443672284,"ref888_SP_1349.txt"
"396","SPpesmG",0.998040177040466,1494,148,1494,0.8,"3oT","laplace","2",2.58716841902111,1.50419325651546,"ref922_SP_1420.txt"
"397","SPpesmJ",0.999736929472974,1742,187,1742,0.8,"3oT","laplace","2",2.3959399259138,1.39849214264851,"ref923_SP_1422.txt"
"398","SPpesmI",0.999741863075196,1963,186,1963,0.8,"3oT","laplace","2",2.25704308883094,1.30640215025967,"ref922_SP_1421.txt"
"399","ESsoor",1,1468,226,1468,0.8,"3oT","laplace","2",2.6099787548594,1.52753931031518,"ref8_ES_10.txt"
"400","SPpesmK",1,1796,162,1796,0.8,"3oT","laplace","2",2.35964589091504,1.3656435996574,"ref935_SP_1437.txt"
"401","MGuberl5",0.00742437918995731,957,68,957,0.75,"1oT","laplace","2",3.23254091917618,2.10457146029866,"ref284_MG_391.txt"
"402","MGuberl3",0.0180417237953712,975,85,975,0.75,"1oT","laplace","2",3.20256307610174,2.08044493398349,"ref89_MG_102.txt"
"403","SCarar",0.0359928114764424,2034,26,2034,0.75,"1oT","laplace","2",2.21730035079246,1.43953826618097,"ref873_SC_1328.txt"
"404","MGuberl7",0.0485476800383076,945,73,945,0.75,"1oT","laplace","2",3.25300024316178,2.10931900986195,"ref100_MG_118.txt"
"405","RScach4",0.072361253275373,1095,48,1095,0.75,"1oT","laplace","2",3.0219894260775,1.95662877157263,"ref638_RS_989.txt"
"406","RScach3",0.102843143491402,1228,71,1228,0.75,"1oT","laplace","2",2.85365072767675,1.83907034188748,"ref663_RS_1023.txt"
"407","SPcamp1",0.103320559326545,1076,108,1076,0.75,"1oT","laplace","2",3.04855380424846,1.96843642360088,"ref986_SP_1505.txt"
"408","RScach2",0.104325049309665,1904,48,1904,0.75,"1oT","laplace","2",2.29174624257053,1.49129262037592,"ref664_RS_1024.txt"
"409","PEalia",0.114091406447269,595,60,595,0.75,"1oT","laplace","2",4.09960030845394,2.6558431973189,"ref1496_PE_2393.txt"
"410","MSdour",0.116734787274334,1016,74,1016,0.75,"1oT","laplace","2",3.13727902569079,2.02788336408414,"ref2570_MS_3876.txt"
"411","RScach1",0.151225472114475,1547,30,1547,0.75,"1oT","laplace","2",2.54246418090461,1.64527501330648,"ref624_RS_974.txt"
"412","BAlenc4",0.159514416903022,893,61,866.990291262136,0.75,"1oT","laplace","2",3.396197069558,2.20124226886052,"ref1420_BA_2286.txt"
"413","PRrico3",0.169853953773957,1143,39,1143,0.75,"1oT","laplace","2",2.95785503138705,1.9194914322258,"ref2686_PR_4170.txt"
"414","PRtiba1",0.181441319632234,1482,117,1482,0.75,"1oT","laplace","2",2.59762166733066,1.68706442338813,"ref347_PR_571.txt"
"415","PRrico1",0.189679150380924,1018,64,1018,0.75,"1oT","laplace","2",3.13419570403611,2.02934747313177,"ref1159_PR_1776.txt"
"416","PEmata2",0.21628955738904,1076,75,1076,0.75,"1oT","laplace","2",3.04855380424846,1.966866612387,"ref1617_PE_2549.txt"
"417","MGvico16",0.21847289239375,1653,91,1653,0.75,"1oT","laplace","2",2.45959483971641,1.58810120385201,"ref257_MG_348.txt"
"418","PRrico2",0.226305520677815,961,34,961,0.75,"1oT","laplace","2",3.2258064516129,2.08869010247066,"ref1359_PR_2196.txt"
"419","MGvico1",0.23259121186371,1825,93,1825,0.75,"1oT","laplace","2",2.34082294392261,1.51568754096218,"ref224_MG_307.txt"
"420","MGuberl1",0.234288719011765,1379,87,1253.63636363636,0.75,"1oT","laplace","2",2.82432200338865,1.84145899913921,"ref76_MG_87.txt"
"421","RSmaqu4",0.310748079531233,1531,85,1531,0.75,"1oT","laplace","2",2.55571489830357,1.65506303499657,"ref658_RS_1017.txt"
"422","MGvico8",0.313668812302999,2303,195,2303,0.75,"1oT","laplace","2",2.08378559282707,1.35439318465762,"ref2419_MG_3585.txt"
"423","RScamb1",0.327940858999573,1178,42,1178,0.75,"1oT","laplace","2",2.91358273374033,1.87970701257435,"ref1183_RS_1928.txt"
"424","PRdiam3",0.328788995096578,1124,74,1040.74074074074,0.75,"1oT","laplace","2",3.09976465643231,2.01049178656082,"ref1327_PR_2157.txt"
"425","PRvent",0.340772625042584,1241,101,1241,0.75,"1oT","laplace","2",2.8386647790183,1.83943088733892,"ref462_PR_743.txt"
"426","RSsmar2",0.36114979447901,1427,58,1427,0.75,"1oT","laplace","2",2.64720767589686,1.71899725282726,"ref678_RS_1041.txt"
"427","SPeec4",0.37843888158286,1212,84,1212,0.75,"1oT","laplace","2",2.87242494810713,1.86053356213701,"ref2561_SP_3863.txt"
"428","PRsapo",0.425074364521363,1480,122,1480,0.75,"2oT","laplace","2",2.59937622455018,1.68429781541524,"ref348_PR_572.txt"
"429","PRdiam2",0.448393813206425,1146,84,1091.42857142857,0.75,"2oT","laplace","2",3.02692974231671,1.96238848015772,"ref454_PR_732.txt"
"430","RSfaxi",0.470118159409467,1211,74,1211,0.75,"2oT","laplace","2",2.87361067569039,1.86617535406066,"ref639_RS_990.txt"
"431","RSsetape",0.493985431841831,1733,45,1733,0.75,"2oT","laplace","2",2.40215329446032,1.56355909511325,"ref740_RS_1123.txt"
"432","SCorle",0.528689726683852,1938,112,1938,0.75,"2oT","laplace","2",2.27155425212127,1.47532184788016,"ref832_SC_1251.txt"
"433","SCside4",0.535403772264882,1421,98,1421,0.75,"2oT","laplace","2",2.65279054538646,1.71718149766014,"ref2715_SC_4218.txt"
"434","RScama",0.559289827066303,2236,69,2236,0.75,"2oT","laplace","2",2.11477467218907,1.36933594504237,"ref619_RS_969.txt"
"435","SPpesm6",0.629775694761977,1891,87,1891,0.75,"2oT","laplace","2",2.29961024909137,1.49669120993354,"ref1059_SP_1682.txt"
"436","PRtele",0.633149366825626,1040,105,1040,0.75,"2oT","laplace","2",3.10086836473021,2.02358342953798,"ref355_PR_580.txt"
"437","PEsvfer",0.636673590338369,1288,91,1288,0.75,"2oT","laplace","2",2.78639106287676,1.81243456346268,"ref1496_PE_2392.txt"
"438","RSmorr1",0.658177286403532,2810,109,2810,0.75,"2oT","laplace","2",1.88645669476136,1.22386138703023,"ref684_RS_1047.txt"
"439","SPpesmA",0.658259844116084,1670,84,1670,0.75,"2oT","laplace","2",2.44704392116198,1.58403228742654,"ref934_SP_1436.txt"
"440","RSvsol",0.666613829015203,1855,55,1855,0.75,"2oT","laplace","2",2.32181730106286,1.50120593693687,"ref618_RS_968.txt"
"441","SPeec5",0.67888901166382,1107,74,1107,0.75,"2oT","laplace","2",3.00556544889144,1.94748955372475,"ref2561_SP_3864.txt"
"442","SCside1",0.680355725623583,1413,111,1413,0.75,"2oT","laplace","2",2.66028961489207,1.71971379948113,"ref2572_SC_3878.txt"
"443","RSpet1",0.722472122747256,826,69,826,0.75,"2oT","laplace","2",3.47944500319611,2.2490341417905,"ref677_RS_1040.txt"
"444","SCside",0.72254784514244,1712,105,1712,0.75,"2oT","laplace","2",2.41684122261416,1.57087251311589,"ref813_SC_1230.txt"
"445","MGarap1",0.728749442631224,2080,92,2080,0.75,"2oT","laplace","2",2.19264504826757,1.42951306144683,"ref238_MG_321.txt"
"446","RSsini",0.73052961024989,1024,69,1024,0.75,"2oT","laplace","2",3.125,2.03353692793045,"ref741_RS_1124.txt"
"447","SPeec1",0.743179321289062,12105,144,1182.12890625,0.75,"2oT","laplace","2",2.90849004346246,1.88892403139782,"ref936_SP_1440.txt"
"448","BAuruc",0.769444718591026,1784,230,1784,0.75,"2oT","laplace","2",2.36756861905189,1.53499228709528,"ref1425_BA_2296.txt"
"449","SPcara3",0.773104012947153,1674,130,1674,0.75,"2oT","laplace","2",2.44411858368922,1.58741778502334,"ref1124_SP_1704.txt"
"450","MGperd1",0.806018045548929,2965,127,2470.83333333333,0.75,"2oT","laplace","2",2.01176975271592,1.30441188023135,"ref2564_MG_3870.txt"
"451","SPcara1",0.850156308651023,2127,171,2127,0.75,"2oT","laplace","2",2.16828444900803,1.40200533216459,"ref1124_SP_1703.txt"
"452","BAjuss",0.859421049020215,1198,182,1198,0.75,"2oT","laplace","2",2.88915998328494,1.86879636241252,"ref1426_BA_2297.txt"
"453","SCilho2",0.884932951426624,1738,157,1738,0.75,"3oT","laplace","2",2.39869546440458,1.5489472692287,"ref847_SC_1271.txt"
"454","PRanto5",0.896644888231427,1753,124,1753,0.75,"3oT","laplace","2",2.38841088596216,1.55006634902436,"ref2714_PR_4207.txt"
"455","SCilho",0.899939351991448,1169,135,1169,0.75,"3oT","laplace","2",2.92477690287062,1.89546240606827,"ref842_SC_1266.txt"
"456","PRanto6",0.906465210449369,1665,128,1665,0.75,"3oT","laplace","2",2.45071540697936,1.59380147289641,"ref2714_PR_4208.txt"
"457","PRanto4",0.9079979592893,1896,119,1896,0.75,"3oT","laplace","2",2.29657606087313,1.48724039720823,"ref2714_PR_4206.txt"
"458","SCtimbe1",0.915684800663396,3148,142,3148,0.75,"3oT","laplace","2",1.7823075144988,1.15646313884154,"ref873_SC_1327.txt"
"459","SCvolta2",0.916842703142202,2059,78,2059,0.75,"3oT","laplace","2",2.2037982136063,1.4313658380349,"ref870_SC_1324.txt"
"460","PRanto11",0.921209867560648,1740,99,1740,0.75,"3oT","laplace","2",2.39731650742692,1.55455560624338,"ref2714_PR_4213.txt"
"461","PRanto10",0.923024383580357,1877,132,1877,0.75,"3oT","laplace","2",2.30817038065365,1.49064579735042,"ref2714_PR_4212.txt"
"462","PRanto9",0.928261175571598,1594,134,1594,0.75,"3oT","laplace","2",2.50470072492812,1.62123956941497,"ref2714_PR_4211.txt"
"463","RSrioz1",0.92867367679881,1205,76,1205,0.75,"3oT","laplace","2",2.88075600957839,1.86684730246986,"ref658_RS_1018.txt"
"464","PRanto15",0.942009596537872,1650,140,1650,0.75,"3oT","laplace","2",2.46182981958665,1.595640133921,"ref2714_PR_4217.txt"
"465","PRanto8",0.955077166221669,1504,134,1504,0.75,"3oT","laplace","2",2.57855311564698,1.67584717751822,"ref2714_PR_4210.txt"
"466","PRanto13",0.968871050376109,1673,127,1673,0.75,"3oT","laplace","2",2.4448489343954,1.58236679998804,"ref2714_PR_4215.txt"
"467","SPpei1",0.969241860061788,3060,165,1545.45454545455,0.75,"3oT","laplace","2",2.54373509534584,1.65476530960911,"ref893_SP_1356.txt"
"468","PRanto12",0.974966068885724,1439,143,1439,0.75,"3oT","laplace","2",2.63614687121482,1.71158016430306,"ref2714_PR_4214.txt"
"469","SCvolta1",0.975721531216037,1658,52,1658,0.75,"3oT","laplace","2",2.45588336206301,1.58590346871502,"ref848_SC_1272.txt"
"470","SPpesmF",0.977848996135357,1360,98,1360,0.75,"3oT","laplace","2",2.7116307227332,1.75482142600026,"ref928_SP_1428.txt"
"471","SPpesmB",0.978518078724858,1076,132,1076,0.75,"3oT","laplace","2",3.04855380424846,1.96606926828278,"ref934_SP_1435.txt"
"472","SPpesmC",0.983950458881778,1061,107,1061,0.75,"3oT","laplace","2",3.07002779922758,1.98438726213327,"ref1115_SP_1693.txt"
"473","SPpesmD",0.988788711304557,1262,148,1262,0.75,"3oT","laplace","2",2.81494764949788,1.82364913323242,"ref926_SP_1426.txt"
"474","SPpecb1",0.992253133238622,11507,221,1123.73046875,0.75,"3oT","laplace","2",2.98310762216623,1.92932142852035,"ref936_SP_1439.txt"
"475","SPpesmE",0.994366533447583,1225,138,1225,0.75,"3oT","laplace","2",2.85714285714286,1.853459927964,"ref888_SP_1349.txt"
"476","SPpesmG",0.998040177040466,1494,148,1494,0.75,"3oT","laplace","2",2.58716841902111,1.67780633146369,"ref922_SP_1420.txt"
"477","SPpesmJ",0.999736929472974,1742,187,1742,0.75,"3oT","laplace","2",2.3959399259138,1.55504184113127,"ref923_SP_1422.txt"
"478","SPpesmI",0.999741863075196,1963,186,1963,0.75,"3oT","laplace","2",2.25704308883094,1.46156618685327,"ref922_SP_1421.txt"
"479","ESsoor",1,1468,226,1468,0.75,"3oT","laplace","2",2.6099787548594,1.69310789254106,"ref8_ES_10.txt"
"480","SPpesmK",1,1796,162,1796,0.75,"3oT","laplace","2",2.35964589091504,1.52937130617623,"ref935_SP_1437.txt"
"481","MGuberl5",0.00742437918995731,957,68,957,0.7,"1oT","laplace","2",3.23254091917618,2.31375737372718,"ref284_MG_391.txt"
"482","MGuberl3",0.0180417237953712,975,85,975,0.7,"1oT","laplace","2",3.20256307610174,2.30028943842804,"ref89_MG_102.txt"
"483","SCarar",0.0359928114764424,2034,26,2034,0.7,"1oT","laplace","2",2.21730035079246,1.59359837701592,"ref873_SC_1328.txt"
"484","MGuberl7",0.0485476800383076,945,73,945,0.7,"1oT","laplace","2",3.25300024316178,2.33418547558605,"ref100_MG_118.txt"
"485","RScach4",0.072361253275373,1095,48,1095,0.7,"1oT","laplace","2",3.0219894260775,2.16920768239683,"ref638_RS_989.txt"
"486","RScach3",0.102843143491402,1228,71,1228,0.7,"1oT","laplace","2",2.85365072767675,2.04905293284103,"ref663_RS_1023.txt"
"487","SPcamp1",0.103320559326545,1076,108,1076,0.7,"1oT","laplace","2",3.04855380424846,2.18767424594589,"ref986_SP_1505.txt"
"488","RScach2",0.104325049309665,1904,48,1904,0.7,"1oT","laplace","2",2.29174624257053,1.646144784519,"ref664_RS_1024.txt"
"489","PEalia",0.114091406447269,595,60,595,0.7,"1oT","laplace","2",4.09960030845394,2.93430071256163,"ref1496_PE_2393.txt"
"490","MSdour",0.116734787274334,1016,74,1016,0.7,"1oT","laplace","2",3.13727902569079,2.2458899613558,"ref2570_MS_3876.txt"
"491","RScach1",0.151225472114475,1547,30,1547,0.7,"1oT","laplace","2",2.54246418090461,1.82415873053175,"ref624_RS_974.txt"
"492","BAlenc4",0.159514416903022,893,61,866.990291262136,0.7,"1oT","laplace","2",3.396197069558,2.44242939822961,"ref1420_BA_2286.txt"
"493","PRrico3",0.169853953773957,1143,39,1143,0.7,"1oT","laplace","2",2.95785503138705,2.11692162474139,"ref2686_PR_4170.txt"
"494","PRtiba1",0.181441319632234,1482,117,1482,0.7,"1oT","laplace","2",2.59762166733066,1.86338592332066,"ref347_PR_571.txt"
"495","PRrico1",0.189679150380924,1018,64,1018,0.7,"1oT","laplace","2",3.13419570403611,2.25301845917645,"ref1159_PR_1776.txt"
"496","PEmata2",0.21628955738904,1076,75,1076,0.7,"1oT","laplace","2",3.04855380424846,2.19242363039877,"ref1617_PE_2549.txt"
"497","MGvico16",0.21847289239375,1653,91,1653,0.7,"1oT","laplace","2",2.45959483971641,1.77405938617069,"ref257_MG_348.txt"
"498","PRrico2",0.226305520677815,961,34,961,0.7,"1oT","laplace","2",3.2258064516129,2.30433715878922,"ref1359_PR_2196.txt"
"499","MGvico1",0.23259121186371,1825,93,1825,0.7,"1oT","laplace","2",2.34082294392261,1.67427587356073,"ref224_MG_307.txt"
"500","MGuberl1",0.234288719011765,1379,87,1253.63636363636,0.7,"1oT","laplace","2",2.82432200338865,2.02968383563064,"ref76_MG_87.txt"
"501","RSmaqu4",0.310748079531233,1531,85,1531,0.7,"1oT","laplace","2",2.55571489830357,1.83421494506486,"ref658_RS_1017.txt"
"502","MGvico8",0.313668812302999,2303,195,2303,0.7,"1oT","laplace","2",2.08378559282707,1.49760930904645,"ref2419_MG_3585.txt"
"503","RScamb1",0.327940858999573,1178,42,1178,0.7,"1oT","laplace","2",2.91358273374033,2.09688502323821,"ref1183_RS_1928.txt"
"504","PRdiam3",0.328788995096578,1124,74,1040.74074074074,0.7,"1oT","laplace","2",3.09976465643231,2.23024705003459,"ref1327_PR_2157.txt"
"505","PRvent",0.340772625042584,1241,101,1241,0.7,"1oT","laplace","2",2.8386647790183,2.04018609831338,"ref462_PR_743.txt"
"506","RSsmar2",0.36114979447901,1427,58,1427,0.7,"1oT","laplace","2",2.64720767589686,1.90197372674344,"ref678_RS_1041.txt"
"507","SPeec4",0.37843888158286,1212,84,1212,0.7,"1oT","laplace","2",2.87242494810713,2.04743681182873,"ref2561_SP_3863.txt"
"508","PRsapo",0.425074364521363,1480,122,1480,0.7,"2oT","laplace","2",2.59937622455018,1.87049794308056,"ref348_PR_572.txt"
"509","PRdiam2",0.448393813206425,1146,84,1091.42857142857,0.7,"2oT","laplace","2",3.02692974231671,2.1647326775775,"ref454_PR_732.txt"
"510","RSfaxi",0.470118159409467,1211,74,1211,0.7,"2oT","laplace","2",2.87361067569039,2.06115686524195,"ref639_RS_990.txt"
"511","RSsetape",0.493985431841831,1733,45,1733,0.7,"2oT","laplace","2",2.40215329446032,1.71948920411068,"ref740_RS_1123.txt"
"512","SCorle",0.528689726683852,1938,112,1938,0.7,"2oT","laplace","2",2.27155425212127,1.63015986365536,"ref832_SC_1251.txt"
"513","SCside4",0.535403772264882,1421,98,1421,0.7,"2oT","laplace","2",2.65279054538646,1.89965712649103,"ref2715_SC_4218.txt"
"514","RScama",0.559289827066303,2236,69,2236,0.7,"2oT","laplace","2",2.11477467218907,1.51950213856675,"ref619_RS_969.txt"
"515","SPpesm6",0.629775694761977,1891,87,1891,0.7,"2oT","laplace","2",2.29961024909137,1.64195188742288,"ref1059_SP_1682.txt"
"516","PRtele",0.633149366825626,1040,105,1040,0.7,"2oT","laplace","2",3.10086836473021,2.22838954591551,"ref355_PR_580.txt"
"517","PEsvfer",0.636673590338369,1288,91,1288,0.7,"2oT","laplace","2",2.78639106287676,1.99402798745885,"ref1496_PE_2392.txt"
"518","RSmorr1",0.658177286403532,2810,109,2810,0.7,"2oT","laplace","2",1.88645669476136,1.35018969452015,"ref684_RS_1047.txt"
"519","SPpesmA",0.658259844116084,1670,84,1670,0.7,"2oT","laplace","2",2.44704392116198,1.75319983636964,"ref934_SP_1436.txt"
"520","RSvsol",0.666613829015203,1855,55,1855,0.7,"2oT","laplace","2",2.32181730106286,1.65486752088325,"ref618_RS_968.txt"
"521","SPeec5",0.67888901166382,1107,74,1107,0.7,"2oT","laplace","2",3.00556544889144,2.14978317604027,"ref2561_SP_3864.txt"
"522","SCside1",0.680355725623583,1413,111,1413,0.7,"2oT","laplace","2",2.66028961489207,1.91478812430236,"ref2572_SC_3878.txt"
"523","RSpet1",0.722472122747256,826,69,826,0.7,"2oT","laplace","2",3.47944500319611,2.48807463096674,"ref677_RS_1040.txt"
"524","SCside",0.72254784514244,1712,105,1712,0.7,"2oT","laplace","2",2.41684122261416,1.72538173660637,"ref813_SC_1230.txt"
"525","MGarap1",0.728749442631224,2080,92,2080,0.7,"2oT","laplace","2",2.19264504826757,1.56484453764727,"ref238_MG_321.txt"
"526","RSsini",0.73052961024989,1024,69,1024,0.7,"2oT","laplace","2",3.125,2.24040899376636,"ref741_RS_1124.txt"
"527","SPeec1",0.743179321289062,12105,144,1182.12890625,0.7,"2oT","laplace","2",2.90849004346246,2.0855871344682,"ref936_SP_1440.txt"
"528","BAuruc",0.769444718591026,1784,230,1784,0.7,"2oT","laplace","2",2.36756861905189,1.69414249187773,"ref1425_BA_2296.txt"
"529","SPcara3",0.773104012947153,1674,130,1674,0.7,"2oT","laplace","2",2.44411858368922,1.75384828296779,"ref1124_SP_1704.txt"
"530","MGperd1",0.806018045548929,2965,127,2470.83333333333,0.7,"2oT","laplace","2",2.01176975271592,1.44347074282625,"ref2564_MG_3870.txt"
"531","SPcara1",0.850156308651023,2127,171,2127,0.7,"2oT","laplace","2",2.16828444900803,1.55763380875138,"ref1124_SP_1703.txt"
"532","BAjuss",0.859421049020215,1198,182,1198,0.7,"2oT","laplace","2",2.88915998328494,2.07017210384657,"ref1426_BA_2297.txt"
"533","SCilho2",0.884932951426624,1738,157,1738,0.7,"3oT","laplace","2",2.39869546440458,1.71512732066574,"ref847_SC_1271.txt"
"534","PRanto5",0.896644888231427,1753,124,1753,0.7,"3oT","laplace","2",2.38841088596216,1.71513636904798,"ref2714_PR_4207.txt"
"535","SCilho",0.899939351991448,1169,135,1169,0.7,"3oT","laplace","2",2.92477690287062,2.09622910039051,"ref842_SC_1266.txt"
"536","PRanto6",0.906465210449369,1665,128,1665,0.7,"3oT","laplace","2",2.45071540697936,1.75959339758602,"ref2714_PR_4208.txt"
"537","PRanto4",0.9079979592893,1896,119,1896,0.7,"3oT","laplace","2",2.29657606087313,1.65044813203233,"ref2714_PR_4206.txt"
"538","SCtimbe1",0.915684800663396,3148,142,3148,0.7,"3oT","laplace","2",1.7823075144988,1.27835662484841,"ref873_SC_1327.txt"
"539","SCvolta2",0.916842703142202,2059,78,2059,0.7,"3oT","laplace","2",2.2037982136063,1.57371380306802,"ref870_SC_1324.txt"
"540","PRanto11",0.921209867560648,1740,99,1740,0.7,"3oT","laplace","2",2.39731650742692,1.71634319880558,"ref2714_PR_4213.txt"
"541","PRanto10",0.923024383580357,1877,132,1877,0.7,"3oT","laplace","2",2.30817038065365,1.65670575205266,"ref2714_PR_4212.txt"
"542","PRanto9",0.928261175571598,1594,134,1594,0.7,"3oT","laplace","2",2.50470072492812,1.78568197049626,"ref2714_PR_4211.txt"
"543","RSrioz1",0.92867367679881,1205,76,1205,0.7,"3oT","laplace","2",2.88075600957839,2.06653008732827,"ref658_RS_1018.txt"
"544","PRanto15",0.942009596537872,1650,140,1650,0.7,"3oT","laplace","2",2.46182981958665,1.76457728224202,"ref2714_PR_4217.txt"
"545","PRanto8",0.955077166221669,1504,134,1504,0.7,"3oT","laplace","2",2.57855311564698,1.84237482589835,"ref2714_PR_4210.txt"
"546","PRanto13",0.968871050376109,1673,127,1673,0.7,"3oT","laplace","2",2.4448489343954,1.741637685843,"ref2714_PR_4215.txt"
"547","SPpei1",0.969241860061788,3060,165,1545.45454545455,0.7,"3oT","laplace","2",2.54373509534584,1.82452209544616,"ref893_SP_1356.txt"
"548","PRanto12",0.974966068885724,1439,143,1439,0.7,"3oT","laplace","2",2.63614687121482,1.88872134670485,"ref2714_PR_4214.txt"
"549","SCvolta1",0.975721531216037,1658,52,1658,0.7,"3oT","laplace","2",2.45588336206301,1.76764974787476,"ref848_SC_1272.txt"
"550","SPpesmF",0.977848996135357,1360,98,1360,0.7,"3oT","laplace","2",2.7116307227332,1.94584257531229,"ref928_SP_1428.txt"
"551","SPpesmB",0.978518078724858,1076,132,1076,0.7,"3oT","laplace","2",3.04855380424846,2.19039446762154,"ref934_SP_1435.txt"
"552","SPpesmC",0.983950458881778,1061,107,1061,0.7,"3oT","laplace","2",3.07002779922758,2.20230364538712,"ref1115_SP_1693.txt"
