"SiteCode"	"kernel_percentil"	"p"	"S.obs"	"DA"	"N"	"pSAD"	"U"	"theta"	"m"
"MGperd1"	"0.7"	0.806018045548929	127	2470.83333333333	2965	100	0.004571628	NA	NA
"MGperd1"	"0.75"	0.806018045548929	127	2470.83333333333	2965	100	0.004475731	NA	NA
"MGperd1"	"0.8"	0.806018045548929	127	2470.83333333333	2965	100	0.0044538	NA	NA
"MGperd1"	"0.85"	0.806018045548929	127	2470.83333333333	2965	100	0.00455805	NA	NA
"MGperd1"	"0.9"	0.806018045548929	127	2470.83333333333	2965	100	0.004572111	NA	NA
"MGperd1"	"0.95"	0.806018045548929	127	2470.83333333333	2965	100	0.004576079	NA	NA
"MGperd1"	"0.99"	0.806018045548929	127	2470.83333333333	2965	100	0.00240896	NA	NA
"MGperd1"	"campo_medio"	0.806018045548929	127	2470.83333333333	2965	100	NA	33.2296026780017	0.284219485584503
"MGuberl1"	"0.25"	0.234288719011765	87	1253.63636363636	1379	61	0.01521829	NA	NA
"MGuberl1"	"0.5"	0.234288719011765	87	1253.63636363636	1379	94	0.01306742	NA	NA
"MGuberl1"	"0.55"	0.234288719011765	87	1253.63636363636	1379	94	0.01334392	NA	NA
"MGuberl1"	"0.6"	0.234288719011765	87	1253.63636363636	1379	93	0.01273444	NA	NA
"MGuberl1"	"0.65"	0.234288719011765	87	1253.63636363636	1379	96	0.01239248	NA	NA
"MGuberl1"	"0.7"	0.234288719011765	87	1253.63636363636	1379	99	0.008678674	NA	NA
"MGuberl1"	"0.75"	0.234288719011765	87	1253.63636363636	1379	100	0.009257418	NA	NA
"MGuberl1"	"0.8"	0.234288719011765	87	1253.63636363636	1379	100	0.00920161	NA	NA
"MGuberl1"	"0.85"	0.234288719011765	87	1253.63636363636	1379	100	0.009099906	NA	NA
"MGuberl1"	"0.9"	0.234288719011765	87	1253.63636363636	1379	100	0.009086849	NA	NA
"MGuberl1"	"0.95"	0.234288719011765	87	1253.63636363636	1379	100	0.008872836	NA	NA
"MGuberl1"	"0.99"	0.234288719011765	87	1253.63636363636	1379	100	0.008640807	NA	NA
"MGuberl1"	"campo_medio"	0.234288719011765	87	1253.63636363636	1379	100	NA	21.492833664646	0.773614133023293
"MGuberl3"	"0.25"	0.0180417237953712	85	975	975	85	0.01624546	NA	NA
"MGuberl3"	"0.5"	0.0180417237953712	85	975	975	100	0.01356322	NA	NA
"MGuberl3"	"0.55"	0.0180417237953712	85	975	975	100	0.01348462	NA	NA
"MGuberl3"	"0.6"	0.0180417237953712	85	975	975	100	0.0135255	NA	NA
"MGuberl3"	"0.65"	0.0180417237953712	85	975	975	99	0.0133261	NA	NA
"MGuberl3"	"0.7"	0.0180417237953712	85	975	975	100	0.013141	NA	NA
"MGuberl3"	"0.75"	0.0180417237953712	85	975	975	100	0.01109062	NA	NA
"MGuberl3"	"0.8"	0.0180417237953712	85	975	975	100	0.0113427	NA	NA
"MGuberl3"	"0.85"	0.0180417237953712	85	975	975	100	0.01096139	NA	NA
"MGuberl3"	"0.9"	0.0180417237953712	85	975	975	100	0.01125482	NA	NA
"MGuberl3"	"0.95"	0.0180417237953712	85	975	975	100	0.01135866	NA	NA
"MGuberl3"	"0.99"	0.0180417237953712	85	975	975	100	0.01139896	NA	NA
"MGuberl3"	"campo_medio"	0.0180417237953712	85	975	975	100	NA	23.0580685290194	0.848581854086701
"MGuberl5"	"0.25"	0.00742437918995731	68	957	957	24	0.01704838	NA	NA
"MGuberl5"	"0.5"	0.00742437918995731	68	957	957	77	0.01445168	NA	NA
"MGuberl5"	"0.55"	0.00742437918995731	68	957	957	79	0.01421741	NA	NA
"MGuberl5"	"0.6"	0.00742437918995731	68	957	957	81	0.01415868	NA	NA
"MGuberl5"	"0.65"	0.00742437918995731	68	957	957	73	0.01525761	NA	NA
"MGuberl5"	"0.7"	0.00742437918995731	68	957	957	79	0.0137903	NA	NA
"MGuberl5"	"0.75"	0.00742437918995731	68	957	957	99	0.01147063	NA	NA
"MGuberl5"	"0.8"	0.00742437918995731	68	957	957	99	0.01142943	NA	NA
"MGuberl5"	"0.85"	0.00742437918995731	68	957	957	97	0.010674457	NA	NA
"MGuberl5"	"0.9"	0.00742437918995731	68	957	957	99	0.01126317	NA	NA
"MGuberl5"	"0.95"	0.00742437918995731	68	957	957	98	0.01145925	NA	NA
"MGuberl5"	"0.99"	0.00742437918995731	68	957	957	100	0.01105966	NA	NA
"MGuberl5"	"campo_medio"	0.00742437918995731	68	957	957	100	NA	24.598652995545	0.184550482944683
"MGuberl7"	"0.25"	0.0485476800383076	73	945	945	82	0.01945092	NA	NA
"MGuberl7"	"0.5"	0.0485476800383076	73	945	945	100	0.01572736	NA	NA
"MGuberl7"	"0.55"	0.0485476800383076	73	945	945	100	0.01531494	NA	NA
"MGuberl7"	"0.6"	0.0485476800383076	73	945	945	100	0.01527667	NA	NA
"MGuberl7"	"0.65"	0.0485476800383076	73	945	945	100	0.0159016	NA	NA
"MGuberl7"	"0.7"	0.0485476800383076	73	945	945	100	0.01537276	NA	NA
"MGuberl7"	"0.75"	0.0485476800383076	73	945	945	100	0.01163395	NA	NA
"MGuberl7"	"0.8"	0.0485476800383076	73	945	945	99	0.01233971	NA	NA
"MGuberl7"	"0.85"	0.0485476800383076	73	945	945	95	0.01224789	NA	NA
"MGuberl7"	"0.9"	0.0485476800383076	73	945	945	99	0.0119025	NA	NA
"MGuberl7"	"0.95"	0.0485476800383076	73	945	945	97	0.01202579	NA	NA
"MGuberl7"	"0.99"	0.0485476800383076	73	945	945	96	0.01165147	NA	NA
"MGuberl7"	"campo_medio"	0.0485476800383076	73	945	945	100	NA	18.4974798389437	0.987264460996803
"MGvico1"	"0.25"	0.23259121186371	93	1825	1825	100	0.01308115	NA	NA
"MGvico1"	"0.5"	0.23259121186371	93	1825	1825	100	0.0111099	NA	NA
"MGvico1"	"0.55"	0.23259121186371	93	1825	1825	99	0.01116555	NA	NA
"MGvico1"	"0.6"	0.23259121186371	93	1825	1825	37	0.007008602	NA	NA
"MGvico1"	"0.65"	0.23259121186371	93	1825	1825	28	0.006851549	NA	NA
"MGvico1"	"0.7"	0.23259121186371	93	1825	1825	30	0.006496162	NA	NA
"MGvico1"	"0.75"	0.23259121186371	93	1825	1825	28	0.006617988	NA	NA
"MGvico1"	"0.8"	0.23259121186371	93	1825	1825	41	0.006703771	NA	NA
"MGvico1"	"0.85"	0.23259121186371	93	1825	1825	30	0.006764196	NA	NA
"MGvico1"	"0.9"	0.23259121186371	93	1825	1825	36	0.007099394	NA	NA
"MGvico1"	"0.95"	0.23259121186371	93	1825	1825	32	0.006937794	NA	NA
"MGvico1"	"0.99"	0.23259121186371	93	1825	1825	18	0.0027627	NA	NA
"MGvico1"	"campo_medio"	0.23259121186371	93	1825	1825	61	NA	20.6937247540414	0.9999
"MGvico16"	"0.25"	0.21847289239375	91	1653	1653	100	0.008790076	NA	NA
"MGvico16"	"0.5"	0.21847289239375	91	1653	1653	99	0.008357364	NA	NA
"MGvico16"	"0.55"	0.21847289239375	91	1653	1653	99	0.00797962	NA	NA
"MGvico16"	"0.6"	0.21847289239375	91	1653	1653	99	0.007907391	NA	NA
"MGvico16"	"0.65"	0.21847289239375	91	1653	1653	62	0.006209914	NA	NA
"MGvico16"	"0.7"	0.21847289239375	91	1653	1653	54	0.006143932	NA	NA
"MGvico16"	"0.75"	0.21847289239375	91	1653	1653	60	0.005861503	NA	NA
"MGvico16"	"0.8"	0.21847289239375	91	1653	1653	50	0.005588524	NA	NA
"MGvico16"	"0.85"	0.21847289239375	91	1653	1653	51	0.005552716	NA	NA
"MGvico16"	"0.9"	0.21847289239375	91	1653	1653	51	0.005976762	NA	NA
"MGvico16"	"0.95"	0.21847289239375	91	1653	1653	63	0.00596729	NA	NA
"MGvico16"	"0.99"	0.21847289239375	91	1653	1653	96	0.00439009	NA	NA
"MGvico16"	"campo_medio"	0.21847289239375	91	1653	1653	88	NA	20.7095060126884	0.9999
"MGvico8"	"0.25"	0.313668812302999	195	2303	2303	100	0.01352264	NA	NA
"MGvico8"	"0.5"	0.313668812302999	195	2303	2303	96	0.0131298	NA	NA
"MGvico8"	"0.55"	0.313668812302999	195	2303	2303	84	0.0135813	NA	NA
"MGvico8"	"0.6"	0.313668812302999	195	2303	2303	87	0.01337729	NA	NA
"MGvico8"	"0.65"	0.313668812302999	195	2303	2303	90	0.01396009	NA	NA
"MGvico8"	"0.7"	0.313668812302999	195	2303	2303	90	0.01359989	NA	NA
"MGvico8"	"0.75"	0.313668812302999	195	2303	2303	87	0.01369529	NA	NA
"MGvico8"	"0.8"	0.313668812302999	195	2303	2303	85	0.01359712	NA	NA
"MGvico8"	"0.85"	0.313668812302999	195	2303	2303	78	0.01315736	NA	NA
"MGvico8"	"0.9"	0.313668812302999	195	2303	2303	86	0.01368038	NA	NA
"MGvico8"	"0.95"	0.313668812302999	195	2303	2303	86	0.01370478	NA	NA
"MGvico8"	"0.99"	0.313668812302999	195	2303	2303	100	0.01054827	NA	NA
"MGvico8"	"campo_medio"	0.313668812302999	195	2303	2303	98	NA	51.859655088041	0.874339246005191
"MSdour"	"0.25"	0.116734787274334	74	1016	1016	92	0.007262443	NA	NA
"MSdour"	"0.5"	0.116734787274334	74	1016	1016	100	0.007495516	NA	NA
"MSdour"	"0.55"	0.116734787274334	74	1016	1016	100	0.007078159	NA	NA
"MSdour"	"0.6"	0.116734787274334	74	1016	1016	98	0.007318171	NA	NA
"MSdour"	"0.65"	0.116734787274334	74	1016	1016	100	0.007784726	NA	NA
"MSdour"	"0.7"	0.116734787274334	74	1016	1016	100	0.007696668	NA	NA
"MSdour"	"0.75"	0.116734787274334	74	1016	1016	100	0.007689732	NA	NA
"MSdour"	"0.8"	0.116734787274334	74	1016	1016	100	0.007511956	NA	NA
"MSdour"	"0.85"	0.116734787274334	74	1016	1016	99	0.007539615	NA	NA
"MSdour"	"0.9"	0.116734787274334	74	1016	1016	100	0.007942902	NA	NA
"MSdour"	"0.95"	0.116734787274334	74	1016	1016	99	0.007765301	NA	NA
"MSdour"	"0.99"	0.116734787274334	74	1016	1016	100	0.007413074	NA	NA
"MSdour"	"campo_medio"	0.116734787274334	74	1016	1016	99	NA	21.8342675542867	0.403553664844142
"PEalia"	"0.25"	0.114091406447269	60	595	595	90	0.01679096	NA	NA
"PEalia"	"0.5"	0.114091406447269	60	595	595	97	0.01799061	NA	NA
"PEalia"	"0.55"	0.114091406447269	60	595	595	98	0.01804492	NA	NA
"PEalia"	"0.6"	0.114091406447269	60	595	595	97	0.01776533	NA	NA
"PEalia"	"0.65"	0.114091406447269	60	595	595	100	0.01459772	NA	NA
"PEalia"	"0.7"	0.114091406447269	60	595	595	100	0.01464105	NA	NA
"PEalia"	"0.75"	0.114091406447269	60	595	595	100	0.01585013	NA	NA
"PEalia"	"0.8"	0.114091406447269	60	595	595	100	0.01608925	NA	NA
"PEalia"	"0.85"	0.114091406447269	60	595	595	100	0.01332542	NA	NA
"PEalia"	"0.9"	0.114091406447269	60	595	595	100	0.0131603	NA	NA
"PEalia"	"0.95"	0.114091406447269	60	595	595	100	0.01293331	NA	NA
"PEalia"	"0.99"	0.114091406447269	60	595	595	100	0.01312454	NA	NA
"PEalia"	"campo_medio"	0.114091406447269	60	595	595	100	NA	19.0509233369462	0.525783855779384
"PEmata2"	"0.25"	0.21628955738904	75	1076	1076	100	0.009127734	NA	NA
"PEmata2"	"0.5"	0.21628955738904	75	1076	1076	94	0.008219256	NA	NA
"PEmata2"	"0.55"	0.21628955738904	75	1076	1076	95	0.008481998	NA	NA
"PEmata2"	"0.6"	0.21628955738904	75	1076	1076	95	0.008507147	NA	NA
"PEmata2"	"0.65"	0.21628955738904	75	1076	1076	98	0.008498407	NA	NA
"PEmata2"	"0.7"	0.21628955738904	75	1076	1076	98	0.008174298	NA	NA
"PEmata2"	"0.75"	0.21628955738904	75	1076	1076	80	0.007202114	NA	NA
"PEmata2"	"0.8"	0.21628955738904	75	1076	1076	78	0.00711971	NA	NA
"PEmata2"	"0.85"	0.21628955738904	75	1076	1076	74	0.00667446	NA	NA
"PEmata2"	"0.9"	0.21628955738904	75	1076	1076	78	0.007203475	NA	NA
"PEmata2"	"0.95"	0.21628955738904	75	1076	1076	72	0.007069247	NA	NA
"PEmata2"	"0.99"	0.21628955738904	75	1076	1076	85	0.007251995	NA	NA
"PEmata2"	"campo_medio"	0.21628955738904	75	1076	1076	96	NA	18.3388235218076	0.9999
"PEsvfer"	"0.25"	0.636673590338369	91	1288	1288	66	0.008663558	NA	NA
"PEsvfer"	"0.5"	0.636673590338369	91	1288	1288	100	0.008133692	NA	NA
"PEsvfer"	"0.55"	0.636673590338369	91	1288	1288	100	0.00829563	NA	NA
"PEsvfer"	"0.6"	0.636673590338369	91	1288	1288	100	0.007902782	NA	NA
"PEsvfer"	"0.65"	0.636673590338369	91	1288	1288	99	0.007660924	NA	NA
"PEsvfer"	"0.7"	0.636673590338369	91	1288	1288	100	0.00786774	NA	NA
"PEsvfer"	"0.75"	0.636673590338369	91	1288	1288	100	0.007693188	NA	NA
