sp,N,MeanDA,SiteCode,ha
Brosimum sp.2,3,1.25,ESpaco,2.4
Byrsonima cacaophila,2,0.833333333,ESpaco,2.4
Cabralea canjerana,2,0.833333333,ESpaco,2.4
Campomanesia guazumifolia,1,0.416666667,ESpaco,2.4
Cariniana legalis,4,1.666666667,ESpaco,2.4
Carpotroche brasiliensis,8,3.333333333,ESpaco,2.4
Caryodendron janeirense,1,0.416666667,ESpaco,2.4
Casearia decandra,6,2.5,ESpaco,2.4
Casearia sp.1,67,27.91666667,ESpaco,2.4
Casearia sp.nova,4,1.666666667,ESpaco,2.4
Casearia ulmifolia,3,1.25,ESpaco,2.4
Cathedra rubricaulis,1,0.416666667,ESpaco,2.4
Cedrela fissilis,5,2.083333333,ESpaco,2.4
Centrolobium sclerophyllum,1,0.416666667,ESpaco,2.4
Chamaecrista ensiformis,1,0.416666667,ESpaco,2.4
Cheiloclinium cognatum,1,0.416666667,ESpaco,2.4
Chrysobalanaceae sp.3,1,0.416666667,ESpaco,2.4
Chrysobalanaceae sp.4,1,0.416666667,ESpaco,2.4
Chrysophyllum lucentifolium,97,40.41666667,ESpaco,2.4
Chrysophyllum sp.1,6,2.5,ESpaco,2.4
Chrysophyllum splendens,4,1.666666667,ESpaco,2.4
Citronella paniculata,6,2.5,ESpaco,2.4
Clarisia racemosa,14,5.833333333,ESpaco,2.4
Cnidoscolus oligandrus,10,4.166666667,ESpaco,2.4
Coccoloba warmingii,4,1.666666667,ESpaco,2.4
Copaifera lucens,21,8.75,ESpaco,2.4
Copaifera sp.2,4,1.666666667,ESpaco,2.4
Cordia sp.1,3,1.25,ESpaco,2.4
Couratari asterotricha,13,5.416666667,ESpaco,2.4
Crepidospermum atlanticum,1,0.416666667,ESpaco,2.4
Cryptocarya saligna,2,0.833333333,ESpaco,2.4
Cupania racemosa,4,1.666666667,ESpaco,2.4
Cupania rugosa,4,1.666666667,ESpaco,2.4
Cupania sp.2,3,1.25,ESpaco,2.4
Cybianthus sp.3,1,0.416666667,ESpaco,2.4
Dalbergia nigra,7,2.916666667,ESpaco,2.4
Dendropanax sp.1,2,0.833333333,ESpaco,2.4
Dilodendron bipinnatum,11,4.583333333,ESpaco,2.4
Dimorphandra jorgei,3,1.25,ESpaco,2.4
Diospyros capreifolia,2,0.833333333,ESpaco,2.4
Diplotropis incexis,2,0.833333333,ESpaco,2.4
Drypetes sessiliflora,4,1.666666667,ESpaco,2.4
Ecclinusa ramiflora,22,9.166666667,ESpaco,2.4
Erythroxylum sp.1,4,1.666666667,ESpaco,2.4
Erythroxylum sp.3,1,0.416666667,ESpaco,2.4
Esenbeckia grandiflora,6,2.5,ESpaco,2.4
Eugenia pisiformis,9,3.75,ESpaco,2.4
Eugenia sp.1,5,2.083333333,ESpaco,2.4
Eugenia stigmatosa,1,0.416666667,ESpaco,2.4
Euphorbiaceae sp.3,1,0.416666667,ESpaco,2.4
Euphorbiaceae sp.4,1,0.416666667,ESpaco,2.4
Euphorbiaceae sp.5,3,1.25,ESpaco,2.4
Euphorbiaceae sp.7,2,0.833333333,ESpaco,2.4
Exostyles venusta,2,0.833333333,ESpaco,2.4
Fabaceae sp.1,2,0.833333333,ESpaco,2.4
Fabaceae sp.2,1,0.416666667,ESpaco,2.4
Fabaceae sp.5,1,0.416666667,ESpaco,2.4
Fabaceae sp.6,1,0.416666667,ESpaco,2.4
Ficus sp.2,2,0.833333333,ESpaco,2.4
Ficus sp.3,1,0.416666667,ESpaco,2.4
Ficus sp.4,1,0.416666667,ESpaco,2.4
Gallesia integrifolia,4,1.666666667,ESpaco,2.4
Garcinia gardneriana,2,0.833333333,ESpaco,2.4
Geissospermum laeve,16,6.666666667,ESpaco,2.4
Glycydendron amazonicum,2,0.833333333,ESpaco,2.4
Guapira noxia,20,8.333333333,ESpaco,2.4
Guapira opposita,10,4.166666667,ESpaco,2.4
Guarea guidonia,12,5,ESpaco,2.4
Guarea kunthiana,3,1.25,ESpaco,2.4
Guarea sp.2,7,2.916666667,ESpaco,2.4
Guazuma crinita,1,0.416666667,ESpaco,2.4
Guettarda angelica,1,0.416666667,ESpaco,2.4
Himatanthus phagedaenicus,2,0.833333333,ESpaco,2.4
Indet. sp.1,3,1.25,ESpaco,2.4
Indet. sp.11,1,0.416666667,ESpaco,2.4
Indet. sp.12,1,0.416666667,ESpaco,2.4
Indet. sp.13,1,0.416666667,ESpaco,2.4
Indet. sp.15,1,0.416666667,ESpaco,2.4
Indet. sp.16,1,0.416666667,ESpaco,2.4
Indet. sp.17,1,0.416666667,ESpaco,2.4
Indet. sp.18,2,0.833333333,ESpaco,2.4
Indet. sp.19,4,1.666666667,ESpaco,2.4
Indet. sp.21,2,0.833333333,ESpaco,2.4
Indet. sp.22,1,0.416666667,ESpaco,2.4
Indet. sp.23,1,0.416666667,ESpaco,2.4
Indet. sp.24,1,0.416666667,ESpaco,2.4
Indet. sp.27,8,3.333333333,ESpaco,2.4
Indet. sp.28,1,0.416666667,ESpaco,2.4
Indet. sp.29,1,0.416666667,ESpaco,2.4
Indet. sp.30,1,0.416666667,ESpaco,2.4
Indet. sp.32,1,0.416666667,ESpaco,2.4
Indet. sp.33,2,0.833333333,ESpaco,2.4
Indet. sp.34,2,0.833333333,ESpaco,2.4
Indet. sp.35,1,0.416666667,ESpaco,2.4
Indet. sp.36,1,0.416666667,ESpaco,2.4
Indet. sp.37,1,0.416666667,ESpaco,2.4
Indet. sp.38,1,0.416666667,ESpaco,2.4
Indet. sp.6,5,2.083333333,ESpaco,2.4
Indet. sp.8,1,0.416666667,ESpaco,2.4
Inga capitata,2,0.833333333,ESpaco,2.4
Inga flagelliformis,3,1.25,ESpaco,2.4
Inga sp.1,2,0.833333333,ESpaco,2.4
Inga striata,1,0.416666667,ESpaco,2.4
Inga thibaudiana,1,0.416666667,ESpaco,2.4
Jacaratia heptaphylla,1,0.416666667,ESpaco,2.4
Lecythis lurida,5,2.083333333,ESpaco,2.4
Licania belemii,3,1.25,ESpaco,2.4
Licania kunthiana,4,1.666666667,ESpaco,2.4
Licania sp.1,1,0.416666667,ESpaco,2.4
Luehea divaricata,6,2.5,ESpaco,2.4
Machaerium fulvovenosum,2,0.833333333,ESpaco,2.4
Machaerium incorruptibile,1,0.416666667,ESpaco,2.4
Machaerium ovalifolium,1,0.416666667,ESpaco,2.4
Macrothumia kuhlmannii,28,11.66666667,ESpaco,2.4
Marlierea clausseniana,4,1.666666667,ESpaco,2.4
Marlierea obversa,2,0.833333333,ESpaco,2.4
Marlierea silvatica,4,1.666666667,ESpaco,2.4
Marlierea tomentosa,32,13.33333333,ESpaco,2.4
Maytenus cestrifolia,14,5.833333333,ESpaco,2.4
Maytenus ilicifolia,3,1.25,ESpaco,2.4
Maytenus sp.1,1,0.416666667,ESpaco,2.4
Melanoxylon brauna,2,0.833333333,ESpaco,2.4
Melicoccus oliviformis,8,3.333333333,ESpaco,2.4
Miconia latecrenata,2,0.833333333,ESpaco,2.4
Micropholis gardneriana,15,6.25,ESpaco,2.4
Micropholis sp.1,16,6.666666667,ESpaco,2.4
Moldenhawera papillanthera,1,0.416666667,ESpaco,2.4
Mollinedia marqueteana,4,1.666666667,ESpaco,2.4
Monimiaceae sp.1,2,0.833333333,ESpaco,2.4
Moraceae sp.1,1,0.416666667,ESpaco,2.4
Moraceae sp.2,1,0.416666667,ESpaco,2.4
Mouriri glazioviana,1,0.416666667,ESpaco,2.4
Mouriri sp.1,1,0.416666667,ESpaco,2.4
Myrcia follii,4,1.666666667,ESpaco,2.4
Myrocarpus frondosus,5,2.083333333,ESpaco,2.4
Myroxylon peruiferum,40,16.66666667,ESpaco,2.4
Myrtaceae sp.2,1,0.416666667,ESpaco,2.4
Myrtaceae sp.3,4,1.666666667,ESpaco,2.4
Naucleopsis oblongifolia,9,3.75,ESpaco,2.4
Neoraputia alba,122,50.83333333,ESpaco,2.4
Ocotea aciphylla,2,0.833333333,ESpaco,2.4
Ocotea confertiflora,39,16.25,ESpaco,2.4
Ocotea divaricata,1,0.416666667,ESpaco,2.4
Ocotea elegans,2,0.833333333,ESpaco,2.4
Ocotea longifolia,2,0.833333333,ESpaco,2.4
Ocotea mosenii,4,1.666666667,ESpaco,2.4
Ocotea nitida,2,0.833333333,ESpaco,2.4
Ocotea sp.1,12,5,ESpaco,2.4
Ouratea sp.1,1,0.416666667,ESpaco,2.4
Oxandra nitida,15,6.25,ESpaco,2.4
Pachira endecaphylla,2,0.833333333,ESpaco,2.4
Parapiptadenia pterosperma,5,2.083333333,ESpaco,2.4
Paratecoma peroba,8,3.333333333,ESpaco,2.4
Peltogyne angustiflora,1,0.416666667,ESpaco,2.4
Posoqueria latifolia,5,2.083333333,ESpaco,2.4
Pouteria bangii,4,1.666666667,ESpaco,2.4
Pouteria coelomatica,3,1.25,ESpaco,2.4
Pouteria filipes,18,7.5,ESpaco,2.4
Pouteria hispida,1,0.416666667,ESpaco,2.4
Pouteria pachycalyx,2,0.833333333,ESpaco,2.4
Pouteria psammophila,3,1.25,ESpaco,2.4
Pouteria sp.1,4,1.666666667,ESpaco,2.4
Pradosia lactescens,3,1.25,ESpaco,2.4
Protium sp.1,3,1.25,ESpaco,2.4
Pseudima frutescens,6,2.5,ESpaco,2.4
Pseudopiptadenia contorta,1,0.416666667,ESpaco,2.4
Psidium sp.1,1,0.416666667,ESpaco,2.4
Psychotria sp.1,1,0.416666667,ESpaco,2.4
Quararibea penduliflora,5,2.083333333,ESpaco,2.4
Ramisia brasiliensis,44,18.33333333,ESpaco,2.4
Randia armata,1,0.416666667,ESpaco,2.4
Rhamnaceae sp.1,1,0.416666667,ESpaco,2.4
Rhamnaceae sp.2,8,3.333333333,ESpaco,2.4
Rhamnidium sp.1,1,0.416666667,ESpaco,2.4
Rinorea bahiensis,51,21.25,ESpaco,2.4
Sapotaceae sp.2,1,0.416666667,ESpaco,2.4
Sapotaceae sp.5,7,2.916666667,ESpaco,2.4
Schoepfia brasiliensis,14,5.833333333,ESpaco,2.4
Senefeldera verticillata,1062,442.5,ESpaco,2.4
Senegalia polyphylla,4,1.666666667,ESpaco,2.4
Senna multijuga,2,0.833333333,ESpaco,2.4
Simarouba amara,1,0.416666667,ESpaco,2.4
Simira glaziovii,1,0.416666667,ESpaco,2.4
Simira grazielae,10,4.166666667,ESpaco,2.4
Siparuna guianensis,2,0.833333333,ESpaco,2.4
Solanum melissarum,1,0.416666667,ESpaco,2.4
Sorocea guilleminiana,31,12.91666667,ESpaco,2.4
Spondias macrocarpa,1,0.416666667,ESpaco,2.4
Spondias venulosa,2,0.833333333,ESpaco,2.4
Styrax latifolius,1,0.416666667,ESpaco,2.4
Swartzia acutifolia,2,0.833333333,ESpaco,2.4
Swartzia apetala,7,2.916666667,ESpaco,2.4
Swartzia oblata,1,0.416666667,ESpaco,2.4
Swartzia simplex,7,2.916666667,ESpaco,2.4
