"SiteCode","p","J","S","DA","k","quantil_p","kernel_type","kernel_code","dist_0","d","txt.file","U"
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.00325537
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.0032028
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.00314313
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.00296046
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.0032028
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.0032505
"RScach4",0.072361253275373,1095,48,1095,0.99,"1oT","laplace",2,3.0219894260775,0.785525900519482,"ref638_RS_989.txt",0.00296046
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00311018
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00322372
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00299259
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00311018
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00308409
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00299259
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00318845
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00308409
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00315647
"RScach3",0.102843143491402,1228,71,1228,0.99,"1oT","laplace",2,2.85365072767675,0.734662281248125,"ref663_RS_1023.txt",0.00306384
"SPcamp1",0.103320559326545,1076,108,1076,0.99,"1oT","laplace",2,3.04855380424846,0.786377062457979,"ref986_SP_1505.txt",0.00596316
"SPcamp1",0.103320559326545,1076,108,1076,0.99,"1oT","laplace",2,3.04855380424846,0.786377062457979,"ref986_SP_1505.txt",0.0054472
"SPcamp1",0.103320559326545,1076,108,1076,0.99,"1oT","laplace",2,3.04855380424846,0.786377062457979,"ref986_SP_1505.txt",0.0061042
"SPcamp1",0.103320559326545,1076,108,1076,0.99,"1oT","laplace",2,3.04855380424846,0.786377062457979,"ref986_SP_1505.txt",0.0060612
"SPcamp1",0.103320559326545,1076,108,1076,0.99,"1oT","laplace",2,3.04855380424846,0.786377062457979,"ref986_SP_1505.txt",0.00603931
"SPcamp1",0.103320559326545,1076,108,1076,0.99,"1oT","laplace",2,3.04855380424846,0.786377062457979,"ref986_SP_1505.txt",0.00560825
"SPcamp1",0.103320559326545,1076,108,1076,0.99,"1oT","laplace",2,3.04855380424846,0.786377062457979,"ref986_SP_1505.txt",0.00585021
"SPcamp1",0.103320559326545,1076,108,1076,0.99,"1oT","laplace",2,3.04855380424846,0.786377062457979,"ref986_SP_1505.txt",0.00553597
"SPcamp1",0.103320559326545,1076,108,1076,0.99,"1oT","laplace",2,3.04855380424846,0.786377062457979,"ref986_SP_1505.txt",0.00589117
"SPcamp1",0.103320559326545,1076,108,1076,0.99,"1oT","laplace",2,3.04855380424846,0.786377062457979,"ref986_SP_1505.txt",0.00588821
"RScach2",0.104325049309665,1904,48,1904,0.99,"1oT","laplace",2,2.29174624257053,0.585705272356423,"ref664_RS_1024.txt",0.0010107
"RScach2",0.104325049309665,1904,48,1904,0.99,"1oT","laplace",2,2.29174624257053,0.585705272356423,"ref664_RS_1024.txt",0.000940233
"RScach2",0.104325049309665,1904,48,1904,0.99,"1oT","laplace",2,2.29174624257053,0.585705272356423,"ref664_RS_1024.txt",0.00106234
"RScach2",0.104325049309665,1904,48,1904,0.99,"1oT","laplace",2,2.29174624257053,0.585705272356423,"ref664_RS_1024.txt",0.00105904
"RScach2",0.104325049309665,1904,48,1904,0.99,"1oT","laplace",2,2.29174624257053,0.585705272356423,"ref664_RS_1024.txt",0.000905683
"RScach2",0.104325049309665,1904,48,1904,0.99,"1oT","laplace",2,2.29174624257053,0.585705272356423,"ref664_RS_1024.txt",0.00105244
"RScach2",0.104325049309665,1904,48,1904,0.99,"1oT","laplace",2,2.29174624257053,0.585705272356423,"ref664_RS_1024.txt",0.000929819
"RScach2",0.104325049309665,1904,48,1904,0.99,"1oT","laplace",2,2.29174624257053,0.585705272356423,"ref664_RS_1024.txt",0.00108239
"RScach2",0.104325049309665,1904,48,1904,0.99,"1oT","laplace",2,2.29174624257053,0.585705272356423,"ref664_RS_1024.txt",0.000898471
"RScach2",0.104325049309665,1904,48,1904,0.99,"1oT","laplace",2,2.29174624257053,0.585705272356423,"ref664_RS_1024.txt",0.00106234
"PEalia",0.114091406447269,595,60,595,0.99,"1oT","laplace",2,4.09960030845394,1.05996590128052,"ref1496_PE_2393.txt",0.00633291
"PEalia",0.114091406447269,595,60,595,0.99,"1oT","laplace",2,4.09960030845394,1.05996590128052,"ref1496_PE_2393.txt",0.0056095
"PEalia",0.114091406447269,595,60,595,0.99,"1oT","laplace",2,4.09960030845394,1.05996590128052,"ref1496_PE_2393.txt",0.00543037
"PEalia",0.114091406447269,595,60,595,0.99,"1oT","laplace",2,4.09960030845394,1.05996590128052,"ref1496_PE_2393.txt",0.00527704
"PEalia",0.114091406447269,595,60,595,0.99,"1oT","laplace",2,4.09960030845394,1.05996590128052,"ref1496_PE_2393.txt",0.00638251
"PEalia",0.114091406447269,595,60,595,0.99,"1oT","laplace",2,4.09960030845394,1.05996590128052,"ref1496_PE_2393.txt",0.0057328
"PEalia",0.114091406447269,595,60,595,0.99,"1oT","laplace",2,4.09960030845394,1.05996590128052,"ref1496_PE_2393.txt",0.00585213
"PEalia",0.114091406447269,595,60,595,0.99,"1oT","laplace",2,4.09960030845394,1.05996590128052,"ref1496_PE_2393.txt",0.00595488
"PEalia",0.114091406447269,595,60,595,0.99,"1oT","laplace",2,4.09960030845394,1.05996590128052,"ref1496_PE_2393.txt",0.00608473
"PEalia",0.114091406447269,595,60,595,0.99,"1oT","laplace",2,4.09960030845394,1.05996590128052,"ref1496_PE_2393.txt",0.00590721
"MSdour",0.116734787274334,1016,74,1016,0.99,"1oT","laplace",2,3.13727902569079,0.804469118225193,"ref2570_MS_3876.txt",0.00282305
"MSdour",0.116734787274334,1016,74,1016,0.99,"1oT","laplace",2,3.13727902569079,0.804469118225193,"ref2570_MS_3876.txt",0.00306466
"MSdour",0.116734787274334,1016,74,1016,0.99,"1oT","laplace",2,3.13727902569079,0.804469118225193,"ref2570_MS_3876.txt",0.0031752
"MSdour",0.116734787274334,1016,74,1016,0.99,"1oT","laplace",2,3.13727902569079,0.804469118225193,"ref2570_MS_3876.txt",0.00298462
"MSdour",0.116734787274334,1016,74,1016,0.99,"1oT","laplace",2,3.13727902569079,0.804469118225193,"ref2570_MS_3876.txt",0.00288448
"MSdour",0.116734787274334,1016,74,1016,0.99,"1oT","laplace",2,3.13727902569079,0.804469118225193,"ref2570_MS_3876.txt",0.0031752
"MSdour",0.116734787274334,1016,74,1016,0.99,"1oT","laplace",2,3.13727902569079,0.804469118225193,"ref2570_MS_3876.txt",0.00291977
"MSdour",0.116734787274334,1016,74,1016,0.99,"1oT","laplace",2,3.13727902569079,0.804469118225193,"ref2570_MS_3876.txt",0.00288448
"MSdour",0.116734787274334,1016,74,1016,0.99,"1oT","laplace",2,3.13727902569079,0.804469118225193,"ref2570_MS_3876.txt",0.00256556
"MSdour",0.116734787274334,1016,74,1016,0.99,"1oT","laplace",2,3.13727902569079,0.804469118225193,"ref2570_MS_3876.txt",0.00291977
"RScach1",0.151225472114475,1547,30,1547,0.99,"1oT","laplace",2,2.54246418090461,0.657730542563495,"ref624_RS_974.txt",0.000516913
"RScach1",0.151225472114475,1547,30,1547,0.99,"1oT","laplace",2,2.54246418090461,0.657730542563495,"ref624_RS_974.txt",0.000456406
"RScach1",0.151225472114475,1547,30,1547,0.99,"1oT","laplace",2,2.54246418090461,0.657730542563495,"ref624_RS_974.txt",0.000595851
"RScach1",0.151225472114475,1547,30,1547,0.99,"1oT","laplace",2,2.54246418090461,0.657730542563495,"ref624_RS_974.txt",0.00055728
"RScach1",0.151225472114475,1547,30,1547,0.99,"1oT","laplace",2,2.54246418090461,0.657730542563495,"ref624_RS_974.txt",0.000549613
"RScach1",0.151225472114475,1547,30,1547,0.99,"1oT","laplace",2,2.54246418090461,0.657730542563495,"ref624_RS_974.txt",0.000532389
"RScach1",0.151225472114475,1547,30,1547,0.99,"1oT","laplace",2,2.54246418090461,0.657730542563495,"ref624_RS_974.txt",0.000434979
