"refID","ordem","txt.name","SiteCode","status","status_diagnostico","confiabilidade","method","state","arrangement","samples","effort_ha","dbh_cutoff","UC_area_ha","Unidade_de_conservacao","frag_area","forest_size","domain","forest_type","forest_subtype","forest_succession","forest_age","year_data","year","Ntotal","S_obs","tif.name","k","kernel_type","kernel_code","DA","dist_0","d","p","U"
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.7,"laplace","2",945,3.25300024316178,2.33401407439018,0.858932677683572,0.0111311
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.7,"laplace","2",945,3.25300024316178,2.33401407439018,0.858932677683572,0.0111311
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.7,"laplace","2",945,3.25300024316178,2.33401407439018,0.858932677683572,0.0106517
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.7,"laplace","2",945,3.25300024316178,2.33401407439018,0.858932677683572,0.0107944
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.7,"laplace","2",945,3.25300024316178,2.33401407439018,0.858932677683572,0.010945
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.7,"laplace","2",945,3.25300024316178,2.33401407439018,0.858932677683572,0.0104887
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.7,"laplace","2",945,3.25300024316178,2.33401407439018,0.858932677683572,0.0110569
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.7,"laplace","2",945,3.25300024316178,2.33401407439018,0.858932677683572,0.0106222
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.7,"laplace","2",945,3.25300024316178,2.33401407439018,0.858932677683572,0.0110569
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.7,"laplace","2",945,3.25300024316178,2.33401407439018,0.858932677683572,0.00986988
"1048","1583","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref1048_NA_1583.txt","SPjabo1","yes","ok NAB digitado! Checado","precisa","parcelas","SP","contiguous",128,1.28,"PBH>=15.0cm",829,"universities and research centers",6,6,"Atlantic_Forest","FES",NA,"primary/secondary",NA,"1986",1989,1694,76,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref1048_NA_1583.tif",0.7,"laplace","2",1323.4375,2.7488325309762,1.97211443311315,0.0125297615930569,0.00633442
"1048","1583","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref1048_NA_1583.txt","SPjabo1","yes","ok NAB digitado! Checado","precisa","parcelas","SP","contiguous",128,1.28,"PBH>=15.0cm",829,"universities and research centers",6,6,"Atlantic_Forest","FES",NA,"primary/secondary",NA,"1986",1989,1694,76,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref1048_NA_1583.tif",0.7,"laplace","2",1323.4375,2.7488325309762,1.97211443311315,0.0125297615930569,0.00634476
"1048","1583","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref1048_NA_1583.txt","SPjabo1","yes","ok NAB digitado! Checado","precisa","parcelas","SP","contiguous",128,1.28,"PBH>=15.0cm",829,"universities and research centers",6,6,"Atlantic_Forest","FES",NA,"primary/secondary",NA,"1986",1989,1694,76,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref1048_NA_1583.tif",0.7,"laplace","2",1323.4375,2.7488325309762,1.97211443311315,0.0125297615930569,0.00606145
"1048","1583","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref1048_NA_1583.txt","SPjabo1","yes","ok NAB digitado! Checado","precisa","parcelas","SP","contiguous",128,1.28,"PBH>=15.0cm",829,"universities and research centers",6,6,"Atlantic_Forest","FES",NA,"primary/secondary",NA,"1986",1989,1694,76,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref1048_NA_1583.tif",0.7,"laplace","2",1323.4375,2.7488325309762,1.97211443311315,0.0125297615930569,0.00629784
"1048","1583","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref1048_NA_1583.txt","SPjabo1","yes","ok NAB digitado! Checado","precisa","parcelas","SP","contiguous",128,1.28,"PBH>=15.0cm",829,"universities and research centers",6,6,"Atlantic_Forest","FES",NA,"primary/secondary",NA,"1986",1989,1694,76,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref1048_NA_1583.tif",0.7,"laplace","2",1323.4375,2.7488325309762,1.97211443311315,0.0125297615930569,0.00606473
