"refID","ordem","txt.name","SiteCode","status","status_diagnostico","confiabilidade","method","state","arrangement","samples","effort_ha","dbh_cutoff","UC_area_ha","Unidade_de_conservacao","frag_area","forest_size","domain","forest_type","forest_subtype","forest_succession","forest_age","year_data","year","Ntotal","S_obs","tif.name","k","kernel_type","kernel_code","DA","dist_0","d","p","U"
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.25,"laplace","2",945,3.25300024316178,5.9120290547573,0.858932677683572,0.0143514
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.25,"laplace","2",945,3.25300024316178,5.9120290547573,0.858932677683572,0.0137271
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.25,"laplace","2",945,3.25300024316178,5.9120290547573,0.858932677683572,0.0133468
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.25,"laplace","2",945,3.25300024316178,5.9120290547573,0.858932677683572,0.0146674
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.25,"laplace","2",945,3.25300024316178,5.9120290547573,0.858932677683572,0.0131138
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.25,"laplace","2",945,3.25300024316178,5.9120290547573,0.858932677683572,0.0146674
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.25,"laplace","2",945,3.25300024316178,5.9120290547573,0.858932677683572,0.0132875
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.25,"laplace","2",945,3.25300024316178,5.9120290547573,0.858932677683572,0.0139151
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.25,"laplace","2",945,3.25300024316178,5.9120290547573,0.858932677683572,0.0141091
"100","118","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref100_NA_118.txt","MGuberl7","yes","ok NAB digitado! Checado","precisa","parcelas","MG","contiguous",25,1,"PBH>=15.0cm",NA,"private",14.9,22,"Atlantic_Forest","FES",NA,"secondary",NA,NA,2010,945,73,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref100_NA_118.tif",0.25,"laplace","2",945,3.25300024316178,5.9120290547573,0.858932677683572,0.0131989
"1048","1583","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref1048_NA_1583.txt","SPjabo1","yes","ok NAB digitado! Checado","precisa","parcelas","SP","contiguous",128,1.28,"PBH>=15.0cm",829,"universities and research centers",6,6,"Atlantic_Forest","FES",NA,"primary/secondary",NA,"1986",1989,1694,76,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref1048_NA_1583.tif",0.25,"laplace","2",1323.4375,2.7488325309762,5.0429949990214,0.0125297615930569,0.0100395
"1048","1583","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref1048_NA_1583.txt","SPjabo1","yes","ok NAB digitado! Checado","precisa","parcelas","SP","contiguous",128,1.28,"PBH>=15.0cm",829,"universities and research centers",6,6,"Atlantic_Forest","FES",NA,"primary/secondary",NA,"1986",1989,1694,76,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref1048_NA_1583.tif",0.25,"laplace","2",1323.4375,2.7488325309762,5.0429949990214,0.0125297615930569,0.00996486
"1048","1583","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref1048_NA_1583.txt","SPjabo1","yes","ok NAB digitado! Checado","precisa","parcelas","SP","contiguous",128,1.28,"PBH>=15.0cm",829,"universities and research centers",6,6,"Atlantic_Forest","FES",NA,"primary/secondary",NA,"1986",1989,1694,76,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref1048_NA_1583.tif",0.25,"laplace","2",1323.4375,2.7488325309762,5.0429949990214,0.0125297615930569,0.00970635
"1048","1583","/home/danilo/Documentos/Doutorado/artigo_mestrado/1A.P_MOVER/simulacao/ref1048_NA_1583.txt","SPjabo1","yes","ok NAB digitado! Checado","precisa","parcelas","SP","contiguous",128,1.28,"PBH>=15.0cm",829,"universities and research centers",6,6,"Atlantic_Forest","FES",NA,"primary/secondary",NA,"1986",1989,1694,76,"/home/danilo/Documentos/Doutorado/artigo_mestrado/paisagens_atualizadas/ref1048_NA_1583.tif",0.25,"laplace","2",1323.4375,2.7488325309762,5.0429949990214,0.0125297615930569,0.009959
