"SiteCode"	"kernel_percentil"	"p"	"S"	"DA"	"J"	"sd_k"	"U"	"GOF"	"theta"	"m"
"MGarap1"	"0.85"	0.728749442631224	92	2080	2080	1.13431707090679	0.004495772	53	NA	NA
"MGarap1"	"0.9"	0.728749442631224	92	2080	2080	0.975688854428472	0.004281329	43	NA	NA
"MGarap1"	"0.95"	0.728749442631224	92	2080	2080	0.793629882580749	0.004083694	45	NA	NA
"MGarap1"	"campo_medio"	0.728749442631224	92	2080	2080	NA	NA	94	19.5532171134246	0.998993365100629
"MGarap1"	"0.99"	0.728749442631224	92	2080	2080	0.56012339505749	0.0023688	59	NA	NA
"MGperd1"	"0.25"	0.806018045548929	127	2470.83333333333	2965	3.68725827579573	0.003849147	99	NA	NA
"MGperd1"	"0.5"	0.806018045548929	127	2470.83333333333	2965	2.10390740865423	0.004353996	100	NA	NA
"MGperd1"	"0.55"	0.806018045548929	127	2470.83333333333	2965	1.92237494296613	0.004568088	100	NA	NA
"MGperd1"	"0.6"	0.806018045548929	127	2470.83333333333	2965	1.74601594815977	0.004430136	100	NA	NA
"MGperd1"	"0.65"	0.806018045548929	127	2470.83333333333	2965	1.59209841576033	0.004245395	100	NA	NA
"MGperd1"	"0.7"	0.806018045548929	127	2470.83333333333	2965	1.43628220349137	0.004571628	100	NA	NA
"MGperd1"	"0.75"	0.806018045548929	127	2470.83333333333	2965	1.30602271861154	0.004475731	100	NA	NA
"MGperd1"	"0.8"	0.806018045548929	127	2470.83333333333	2965	1.16809949045112	0.0044538	100	NA	NA
"MGperd1"	"0.85"	0.806018045548929	127	2470.83333333333	2965	1.03451808730502	0.00455805	100	NA	NA
"MGperd1"	"0.9"	0.806018045548929	127	2470.83333333333	2965	0.905395819212592	0.004572111	100	NA	NA
"MGperd1"	"0.95"	0.806018045548929	127	2470.83333333333	2965	0.735809900561453	0.004576079	100	NA	NA
"MGperd1"	"0.99"	0.806018045548929	127	2470.83333333333	2965	0.515276499061237	0.00240896	100	NA	NA
"MGperd1"	"campo_medio"	0.806018045548929	127	2470.83333333333	2965	NA	NA	99	32.9653869989367	0.289405194287228
"MGuberl1"	"0.25"	0.234288719011765	87	1253.63636363636	1379	5.16257853926539	0.01521829	61	NA	NA
