"SiteCode"	"kernel_percentil"	"par.value"	"par.class"	"par.method"	"GOF"	"p"	"J"	"S"
"61"	"BAlenc4"	"0.55"	1546.15166987762	"theta"	"H01"	94	0.159514416903022	893	61
"62"	"BAlenc4"	"0.55"	781.805158530666	"theta"	"E05"	94	0.159514416903022	893	61
"63"	"BAlenc4"	"0.55"	0.0286448783771001	"m"	"CL"	94	0.159514416903022	893	61
"64"	"BAlenc4"	"0.55"	0.0726452693179396	"m"	"CaCL"	94	0.159514416903022	893	61
"65"	"BAlenc4"	"0.6"	1656.50335477153	"theta"	"H01"	96	0.159514416903022	893	61
"66"	"BAlenc4"	"0.6"	838.280480645253	"theta"	"E05"	96	0.159514416903022	893	61
"67"	"BAlenc4"	"0.6"	0.0261293636946563	"m"	"CL"	96	0.159514416903022	893	61
"68"	"BAlenc4"	"0.6"	0.0604464834977253	"m"	"CaCL"	96	0.159514416903022	893	61
"69"	"BAlenc4"	"0.65"	1690.09857151289	"theta"	"H01"	93	0.159514416903022	893	61
"70"	"BAlenc4"	"0.65"	855.491816624456	"theta"	"E05"	93	0.159514416903022	893	61
"71"	"BAlenc4"	"0.65"	0.0237387401042826	"m"	"CL"	93	0.159514416903022	893	61
"72"	"BAlenc4"	"0.65"	0.0498917461988556	"m"	"CaCL"	93	0.159514416903022	893	61
"73"	"BAlenc4"	"0.7"	1666.04449590024	"theta"	"H01"	92	0.159514416903022	893	61
"74"	"BAlenc4"	"0.7"	843.167690527723	"theta"	"E05"	92	0.159514416903022	893	61
"75"	"BAlenc4"	"0.7"	0.021595701287863	"m"	"CL"	92	0.159514416903022	893	61
"76"	"BAlenc4"	"0.7"	0.0412902960022323	"m"	"CaCL"	92	0.159514416903022	893	61
"77"	"BAlenc4"	"0.75"	1527.15236609066	"theta"	"H01"	93	0.159514416903022	893	61
"78"	"BAlenc4"	"0.75"	772.090970508997	"theta"	"E05"	93	0.159514416903022	893	61
"79"	"BAlenc4"	"0.75"	0.0195228033307559	"m"	"CL"	93	0.159514416903022	893	61
"80"	"BAlenc4"	"0.75"	0.0337440908385748	"m"	"CaCL"	93	0.159514416903022	893	61
