"SiteCode"	"kernel_percentil"	"GOF"	"p"	"J"	"S"	"DA"	"J_M"	"sd_k"	"sd_k_"	"U"	"U_"	"theta"	"theta_"	"m"	"m_"	"S_M"	"S_M_"	"spp_I"	"spp_I_"
"66"	"MGperd1"	"0.25"	99	0.806018045548929	2965	127	2470.83333333333	995768.127105238	3.68725827579573	NA	0.003849147	NA	NA	3847.6642753984	NA	0.0719620238777212	21392.6643773297	NA	NA	0.457631152226986
"67"	"MGperd1"	"0.5"	100	0.806018045548929	2965	127	2470.83333333333	995768.127105238	2.10390740865423	NA	0.004353996	NA	NA	4354.52567572169	NA	0.0231582736145251	23674.1047121396	NA	NA	0.381003422101929
"68"	"MGperd1"	"0.55"	100	0.806018045548929	2965	127	2470.83333333333	995768.127105238	1.92237494296613	NA	0.004568088	NA	NA	4569.62631927749	NA	0.0193165531288015	24624.1897688852	NA	NA	0.382948611050867
"69"	"MGperd1"	"0.6"	100	0.806018045548929	2965	127	2470.83333333333	995768.127105238	1.74601594815977	NA	0.004430136	NA	NA	4431.01379111802	NA	0.0159219606187409	24013.1279093322	NA	NA	0.35522353655649
"70"	"MGperd1"	"0.65"	100	0.806018045548929	2965	127	2470.83333333333	995768.127105238	1.59209841576033	NA	0.004245395	NA	NA	4245.44838793584	NA	0.0132299916875267	23188.3244988515	NA	NA	0.326664314272211
"71"	"MGperd1"	"0.7"	100	0.806018045548929	2965	127	2470.83333333333	995768.127105238	1.43628220349137	NA	0.004571628	NA	NA	4573.18377474765	NA	0.0107607357085122	24639.8171280432	NA	NA	0.336681804205536
"72"	"MGperd1"	"0.75"	100	0.806018045548929	2965	127	2470.83333333333	995768.127105238	1.30602271861154	NA	0.004475731	NA	NA	4476.82285439679	NA	0.0088934272833996	24215.5423030689	NA	NA	0.316882943676336
"73"	"MGperd1"	"0.8"	100	0.806018045548929	2965	127	2470.83333333333	995768.127105238	1.16809949045112	NA	0.0044538	NA	NA	4454.78836713084	NA	0.00711117621515515	24118.2378139877	NA	NA	0.301606846599604
"74"	"MGperd1"	"0.85"	100	0.806018045548929	2965	127	2470.83333333333	995768.127105238	1.03451808730502	NA	0.00455805	NA	NA	4559.53896025984	NA	0.0055756782169626	24579.8626093937	NA	NA	0.294683442642908
"75"	"MGperd1"	"0.9"	100	0.806018045548929	2965	127	2470.83333333333	995768.127105238	0.905395819212592	NA	0.004572111	NA	NA	4573.66915834549	NA	0.00426935353339818	24641.9491315005	NA	NA	0.281503792359922
"76"	"MGperd1"	"0.95"	100	0.806018045548929	2965	127	2470.83333333333	995768.127105238	0.735809900561453	NA	0.004576079	NA	NA	4577.656758197	NA	0.00281880427201696	24659.4623707806	NA	NA	0.262209121599116
"77"	"MGperd1"	"0.99"	100	0.806018045548929	2965	127	2470.83333333333	995768.127105238	0.515276499061237	NA	0.00240896	NA	NA	2404.5556569067	NA	0.00138186056628124	14496.0229930887	NA	NA	0.122998088897018
"78"	"MGperd1"	"campo_medio"	99	0.806018045548929	2965	127	2470.83333333333	995768.127105238	NA	160.658766119772	NA	3.31044225115833e-05	32.9653869989367	NA	0.289405194287228	NA	NA	340.066120441489	0.00637175709822283	NA
"79"	"MGuberl1"	"0.25"	61	0.234288719011765	1379	87	1253.63636363636	146856.428871465	5.16257853926539	NA	0.01521829	NA	NA	2269.42527663347	NA	0.0488157117150434	9498.19334858695	NA	NA	0.51838455192726
"80"	"MGuberl1"	"0.5"	94	0.234288719011765	1379	87	1253.63636363636	146856.428871465	2.95985278384627	NA	0.01306742	NA	NA	1944.43025514829	NA	0.0144937226800293	8434.2826025867	NA	NA	0.328195467449728
"81"	"MGuberl1"	"0.55"	94	0.234288719011765	1379	87	1253.63636363636	146856.428871465	2.69775401799821	NA	0.01334392	NA	NA	1986.12985228502	NA	0.0119447276860247	8573.57404846205	NA	NA	0.321417446936294
"82"	"MGuberl1"	"0.6"	93	0.234288719011765	1379	87	1253.63636363636	146856.428871465	2.4521908217321	NA	0.01273444	NA	NA	1894.24378141778	NA	0.00980266162166105	8265.48511389173	NA	NA	0.294084480252567
"83"	"MGuberl1"	"0.65"	96	0.234288719011765	1379	87	1253.63636363636	146856.428871465	2.22983313346812	NA	0.01239248	NA	NA	1842.7390722795	NA	0.00806079671174861	8090.90585717375	NA	NA	0.274960725176862
"84"	"MGuberl1"	"0.7"	99	0.234288719011765	1379	87	1253.63636363636	146856.428871465	2.02396105405356	NA	0.008678674	NA	NA	1285.66828825151	NA	0.00661038970902242	6102.96303297974	NA	NA	0.184525900901593
"85"	"MGuberl1"	"0.75"	100	0.234288719011765	1379	87	1253.63636363636	146856.428871465	1.82525269306769	NA	0.009257418	NA	NA	1372.20516744926	NA	0.00535451799376239	6425.16131421196	NA	NA	0.189250400073798
"86"	"MGuberl1"	"0.8"	100	0.234288719011765	1379	87	1253.63636363636	146856.428871465	1.65583723799593	NA	0.00920161	NA	NA	1363.85605436638	NA	0.00439305246446422	6394.31463905851	NA	NA	0.18141528476712
"87"	"MGuberl1"	"0.85"	100	0.234288719011765	1379	87	1253.63636363636	146856.428871465	1.45870833577201	NA	0.009099906	NA	NA	1348.64312397574	NA	0.0033983959991329	6337.97964422688	NA	NA	0.171461167130772
"88"	"MGuberl1"	"0.9"	100	0.234288719011765	1379	87	1253.63636363636	146856.428871465	1.26747048889192	NA	0.009086849	NA	NA	1346.69027819295	NA	0.00255877747906148	6330.7358994738	NA	NA	0.16320953766351
"89"	"MGuberl1"	"0.95"	100	0.234288719011765	1379	87	1253.63636363636	146856.428871465	1.02040304039515	NA	0.008872836	NA	NA	1314.6891573705	NA	0.00165357636235704	6211.63409795752	NA	NA	0.148605027426951
"90"	"MGuberl1"	"0.99"	100	0.234288719011765	1379	87	1253.63636363636	146856.428871465	0.727063782778486	NA	0.008640807	NA	NA	1280.00973485758	NA	0.000837282197850558	6081.69956650528	NA	NA	0.13089527087528
"91"	"MGuberl1"	"campo_medio"	100	0.234288719011765	1379	87	1253.63636363636	146856.428871465	NA	389.834354877902	NA	0.000144742287444315	21.2592678135245	NA	0.79463652636971	NA	NA	187.945021562157	0.0137728576119937	NA
"92"	"MGuberl3"	"0.25"	85	0.0180417237953712	975	85	975	8795.34035024346	5.87875916245522	NA	0.01624546	NA	NA	145.227390143751	NA	0.00580097831094277	598.396429885555	NA	NA	0.0287562928968162
"93"	"MGuberl3"	"0.5"	100	0.0180417237953712	975	85	975	8795.34035024346	3.34931778154722	NA	0.01356322	NA	NA	120.919632503189	NA	0.00155200735236342	520.061138245491	NA	NA	0.0191440491293672
"94"	"MGuberl3"	"0.55"	100	0.0180417237953712	975	85	975	8795.34035024346	3.05858875381495	NA	0.01348462	NA	NA	120.209314702929	NA	0.00127636011387009	517.704873661647	NA	NA	0.0184782399238406
"95"	"MGuberl3"	"0.6"	100	0.0180417237953712	975	85	975	8795.34035024346	2.76881752368366	NA	0.0135255	NA	NA	120.578738129792	NA	0.00103301776321096	518.930832486064	NA	NA	0.0179691460511667
"96"	"MGuberl3"	"0.65"	99	0.0180417237953712	975	85	975	8795.34035024346	2.52191246380561	NA	0.0133261	NA	NA	118.77709437878	NA	0.000848864286726014	512.941466882867	NA	NA	0.0172123786146332
"97"	"MGuberl3"	"0.7"	100	0.0180417237953712	975	85	975	8795.34035024346	2.29516138387002	NA	0.013141	NA	NA	117.105307386921	NA	0.00069754518017154	507.360003946082	NA	NA	0.0165141942257786
"98"	"MGuberl3"	"0.75"	100	0.0180417237953712	975	85	975	8795.34035024346	2.07514252443466	NA	0.01109062	NA	NA	98.6285386181868	NA	0.000566294666386214	444.042196596717	NA	NA	0.0135225836784379
"99"	"MGuberl3"	"0.8"	100	0.0180417237953712	975	85	975	8795.34035024346	1.85951040849012	NA	0.0113427	NA	NA	100.895997319502	NA	0.000451975064826928	451.982814364939	NA	NA	0.0134300008286764
"100"	"MGuberl3"	"0.85"	100	0.0180417237953712	975	85	975	8795.34035024346	1.65725474412986	NA	0.01096139	NA	NA	97.4665633849776	NA	0.00035719360211175	439.953286773288	NA	NA	0.0125900302668616
"101"	"MGuberl3"	"0.9"	100	0.0180417237953712	975	85	975	8795.34035024346	1.42550204806965	NA	0.01125482	NA	NA	100.105385758469	NA	0.000262948120884088	449.219816071189	NA	NA	0.0124515707059668
"102"	"MGuberl3"	"0.95"	100	0.0180417237953712	975	85	975	8795.34035024346	1.16338983030628	NA	0.01135866	NA	NA	101.039596384566	NA	0.000174306784958317	452.484007441987	NA	NA	0.0119718034665989
"103"	"MGuberl3"	"0.99"	100	0.0180417237953712	975	85	975	8795.34035024346	0.823302290538361	NA	0.01139896	NA	NA	101.40221365619	NA	8.68821391007449e-05	453.748736086794	NA	NA	0.011121131501048
"104"	"MGuberl3"	"campo_medio"	100	0.0180417237953712	975	85	975	8795.34035024346	NA	572.359014756053	NA	0.00258124253469592	22.7590720614964	NA	0.870621680717201	NA	NA	135.647757442739	0.0217977653143673	NA
"105"	"MGuberl5"	"0.25"	24	0.00742437918995731	957	68	957	3552.56544239457	5.95315928663749	NA	0.01704838	NA	NA	61.5985934860261	NA	0.00247656207954212	250.881618758178	NA	NA	0.0106995802256068
"106"	"MGuberl5"	"0.5"	77	0.00742437918995731	957	68	957	3552.56544239457	3.35333919955092	NA	0.01445168	NA	NA	52.0787121554271	NA	0.000640920525360807	220.716747502924	NA	NA	0.00739654016731801
"107"	"MGuberl5"	"0.55"	79	0.00742437918995731	957	68	957	3552.56544239457	3.07430666829627	NA	0.01421741	NA	NA	51.2223106276963	NA	0.000531432927564028	217.924582463896	NA	NA	0.00709494198891152
"108"	"MGuberl5"	"0.6"	81	0.00742437918995731	957	68	957	3552.56544239457	2.79945494675426	NA	0.01415868	NA	NA	51.0076800168238	NA	0.000435373726707269	217.222640588597	NA	NA	0.00688386757312069
"109"	"MGuberl5"	"0.65"	73	0.00742437918995731	957	68	957	3552.56544239457	2.54261591959204	NA	0.01525761	NA	NA	55.0279961133123	NA	0.000355527793611606	230.229133760235	NA	NA	0.00723756579259685
"110"	"MGuberl5"	"0.7"	79	0.00742437918995731	957	68	957	3552.56544239457	2.30438977232774	NA	0.0137903	NA	NA	49.6620068939231	NA	0.000289569330471518	212.801500991549	NA	NA	0.00636770099038891
"111"	"MGuberl5"	"0.75"	99	0.00742437918995731	957	68	957	3552.56544239457	2.09184637791	NA	0.01147063	NA	NA	41.2114139921755	NA	0.000237001933067462	184.183017842639	NA	NA	0.00515761848125637
"112"	"MGuberl5"	"0.8"	99	0.00742437918995731	957	68	957	3552.56544239457	1.88336235843013	NA	0.01142943	NA	NA	41.0616802139556	NA	0.000190968459362533	183.661615828694	NA	NA	0.00500951277058043
"113"	"MGuberl5"	"0.85"	97	0.00742437918995731	957	68	957	3552.56544239457	1.66355452804946	NA	0.010674457	NA	NA	38.3200786290897	NA	0.000148162279943866	174.018369668303	NA	NA	0.0045406632328816
"114"	"MGuberl5"	"0.9"	99	0.00742437918995731	957	68	957	3552.56544239457	1.43595064312487	NA	0.01126317	NA	NA	40.4575657850384	NA	0.000109838651084508	181.552530841654	NA	NA	0.00463673271375982
"115"	"MGuberl5"	"0.95"	98	0.00742437918995731	957	68	957	3552.56544239457	1.18217389994767	NA	0.01145925	NA	NA	41.1700542398075	NA	7.40949779494111e-05	184.039048415749	NA	NA	0.00452323726975766
"116"	"MGuberl5"	"0.99"	100	0.00742437918995731	957	68	957	3552.56544239457	0.833150999721289	NA	0.01105966	NA	NA	39.7183780172559	NA	3.66195990859127e-05	178.959863387329	NA	NA	0.00406282762904012
"117"	"MGuberl5"	"campo_medio"	100	0.00742437918995731	957	68	957	3552.56544239457	NA	142.416628843047	NA	0.00663526450649225	23.7229843987744	NA	0.200062953190462	NA	NA	119.012730358574	0.0123232114499044	NA
"118"	"MGuberl7"	"0.25"	82	0.0485476800383076	945	73	945	22938.7788181003	5.95151799736327	NA	0.01945092	NA	NA	455.011288949008	NA	0.0159634266995385	1792.75934469281	NA	NA	0.114516566803971
"119"	"MGuberl7"	"0.5"	100	0.0485476800383076	945	73	945	22938.7788181003	3.40047465444118	NA	0.01572736	NA	NA	366.515018717414	NA	0.00430432491502818	1521.96623616731	NA	NA	0.0708824515641246
"120"	"MGuberl7"	"0.55"	100	0.0485476800383076	945	73	945	22938.7788181003	3.09690415888068	NA	0.01531494	NA	NA	356.754378229804	NA	0.00351946618506062	1490.91530504149	NA	NA	0.0665886889362612
"121"	"MGuberl7"	"0.6"	100	0.0485476800383076	945	73	945	22938.7788181003	2.80865798579652	NA	0.01527667	NA	NA	355.84906629267	NA	0.0028597922229612	1488.0222793229	NA	NA	0.0641083440809366
"122"	"MGuberl7"	"0.65"	100	0.0485476800383076	945	73	945	22938.7788181003	2.56490713456987	NA	0.0159016	NA	NA	370.641171303504	NA	0.00236296447749227	1535.01637545274	NA	NA	0.0646985045380846
"123"	"MGuberl7"	"0.7"	100	0.0485476800383076	945	73	945	22938.7788181003	2.33723917280665	NA	0.01537276	NA	NA	358.122296823456	NA	0.00194680108644663	1495.28241814305	NA	NA	0.0605981766239431
"124"	"MGuberl7"	"0.75"	100	0.0485476800383076	945	73	945	22938.7788181003	2.10294546963662	NA	0.01163395	NA	NA	269.99811646792	NA	0.00156468570292594	1202.57752403537	NA	NA	0.0441582257153543
