"","Site","k","MN","GOF","U","S","p","m_","J","DA","S_m","S_sd"
"46","ESsoor","0.55","EE",100,0.02938896,226,1,0.0433929730230977,1468,1468,227.21,10.6270999113235
"47","ESsoor","0.5","EE",98,0.02723905,226,1,0.0525814654860208,1468,1468,219.49,12.0591932323079
"48","ESsoor","0.25","EE",100,0.02523688,226,1,0.162015208772412,1468,1468,230.6,11.9823101936045
"49","MGarap1","0.99","EE",59,0.0023688,92,0.728749442631224,0.00161767801169197,2080,2080,91.71,8.35245684535606
"50","MGarap1","0.95","EE",45,0.004083694,92,0.728749442631224,0.00324955757772912,2080,2080,90.03,7.65474039436025
"51","MGarap1","0.9","EE",43,0.004281329,92,0.728749442631224,0.00491450330255638,2080,2080,93.82,7.94091819742414
"52","MGarap1","0.85","EE",53,0.004495772,92,0.728749442631224,0.00664668789884115,2080,2080,97.25,8.30647185918756
"53","MGarap1","0.8","EE",49,0.004178105,92,0.728749442631224,0.00838740162824625,2080,2080,90.56,7.54156160984922
"54","MGarap1","0.75","EE",44,0.00404552,92,0.728749442631224,0.0104657038717215,2080,2080,90.5,7.4433890402182
"55","MGarap1","0.7","EE",38,0.004126534,92,0.728749442631224,0.0129253484627457,2080,2080,91.99,8.82088316428575
"56","MGarap1","0.65","EE",45,0.004297878,92,0.728749442631224,0.0155066269229366,2080,2080,93.72,8.03411916186651
"57","MGarap1","0.6","EE",47,0.004276538,92,0.728749442631224,0.0187242170244387,2080,2080,93.26,7.18671614083156
"58","MGarap1","0.55","EE",55,0.004588384,92,0.728749442631224,0.0227491334042623,2080,2080,97.92,7.09200716698493
"59","MGarap1","0.5","EE",53,0.004105701,92,0.728749442631224,0.0273816842068703,2080,2080,98.48,7.3724576169098
"60","MGarap1","0.25","EE",66,0.003375713,92,0.728749442631224,0.0860726377407017,2080,2080,93.96,8.38097894525503
"61","MGperd1","0.99","EE",100,0.00240896,127,0.806018045548929,0.00138186056628124,2965,2470.83333333333,124.17,8.47939272649292
"62","MGperd1","0.95","EE",100,0.004576079,127,0.806018045548929,0.00281880427201696,2965,2470.83333333333,128.48,10.7913920053968
"63","MGperd1","0.9","EE",100,0.004572111,127,0.806018045548929,0.00426935353339818,2965,2470.83333333333,129.21,8.6097137999571
"64","MGperd1","0.85","EE",100,0.00455805,127,0.806018045548929,0.0055756782169626,2965,2470.83333333333,127.29,9.10022199751415
"65","MGperd1","0.8","EE",100,0.0044538,127,0.806018045548929,0.00711117621515515,2965,2470.83333333333,127.04,8.87160946759124
"66","MGperd1","0.75","EE",100,0.004475731,127,0.806018045548929,0.0088934272833996,2965,2470.83333333333,126.67,9.77944143330665
"67","MGperd1","0.7","EE",100,0.004571628,127,0.806018045548929,0.0107607357085122,2965,2470.83333333333,128.19,7.07919843662053
"68","MGperd1","0.65","EE",100,0.004245395,127,0.806018045548929,0.0132299916875267,2965,2470.83333333333,122.5,8.49896012652861
"69","MGperd1","0.6","EE",100,0.004430136,127,0.806018045548929,0.0159219606187409,2965,2470.83333333333,127.91,9.16525608981654
"70","MGperd1","0.55","EE",100,0.004568088,127,0.806018045548929,0.0193165531288015,2965,2470.83333333333,127.8,9.14308260905257
"71","MGperd1","0.5","EE",100,0.004353996,127,0.806018045548929,0.0231582736145251,2965,2470.83333333333,123.92,9.65221490256265
"72","MGperd1","0.25","EE",99,0.003849147,127,0.806018045548929,0.0719620238777212,2965,2470.83333333333,127.94,9.48877060934491
"73","MGuberl1","0.99","EE",100,0.008640807,87,0.234288719011765,0.000837282197850558,1379,1253.63636363636,83.23,7.50872220094132
"74","MGuberl1","0.95","EE",100,0.008872836,87,0.234288719011765,0.00165357636235704,1379,1253.63636363636,83.8,7.7132969277054
"75","MGuberl1","0.9","EE",100,0.009086849,87,0.234288719011765,0.00255877747906148,1379,1253.63636363636,86.52,8.06223269073747
"76","MGuberl1","0.85","EE",100,0.009099906,87,0.234288719011765,0.0033983959991329,1379,1253.63636363636,87.1,7.54983443527075
"77","MGuberl1","0.8","EE",100,0.00920161,87,0.234288719011765,0.00439305246446422,1379,1253.63636363636,87.58,7.98885587439266
"78","MGuberl1","0.75","EE",100,0.009257418,87,0.234288719011765,0.00535451799376239,1379,1253.63636363636,88.64,7.5190263715296
"79","MGuberl1","0.7","EE",99,0.008678674,87,0.234288719011765,0.00661038970902242,1379,1253.63636363636,83.55,7.91287788125385
"80","MGuberl1","0.65","EE",96,0.01239248,87,0.234288719011765,0.00806079671174861,1379,1253.63636363636,84.13,9.44912480581983
"81","MGuberl1","0.6","EE",93,0.01273444,87,0.234288719011765,0.00980266162166105,1379,1253.63636363636,87.07,8.52833068322425
"82","MGuberl1","0.55","EE",94,0.01334392,87,0.234288719011765,0.0119447276860247,1379,1253.63636363636,88.49,7.3353922729449
"83","MGuberl1","0.5","EE",94,0.01306742,87,0.234288719011765,0.0144937226800293,1379,1253.63636363636,89.09,8.07552106083814
"84","MGuberl1","0.25","EE",61,0.01521829,87,0.234288719011765,0.0488157117150434,1379,1253.63636363636,85.18,8.49168339427978
"85","MGuberl3","0.99","EE",100,0.01139896,85,0.0180417237953712,8.68821391007449e-05,975,975,83.98,7.41412792776689
"86","MGuberl3","0.95","EE",100,0.01135866,85,0.0180417237953712,0.000174306784958317,975,975,85.1,7.53510303697154
"87","MGuberl3","0.9","EE",100,0.01125482,85,0.0180417237953712,0.000262948120884088,975,975,85.51,7.60581250349914
"88","MGuberl3","0.85","EE",100,0.01096139,85,0.0180417237953712,0.00035719360211175,975,975,82.74,7.29275273297007
"89","MGuberl3","0.8","EE",100,0.0113427,85,0.0180417237953712,0.000451975064826928,975,975,84.03,7.0114696797966
"90","MGuberl3","0.75","EE",100,0.01109062,85,0.0180417237953712,0.000566294666386214,975,975,83.16,7.38373861668978
"91","MGuberl3","0.7","EE",100,0.013141,85,0.0180417237953712,0.00069754518017154,975,975,80.14,7.61447319387244
"92","MGuberl3","0.65","EE",99,0.0133261,85,0.0180417237953712,0.000848864286726014,975,975,82.72,8.18730231467723
"93","MGuberl3","0.6","EE",100,0.0135255,85,0.0180417237953712,0.00103301776321096,975,975,82.94,7.87890675900989
"94","MGuberl3","0.55","EE",100,0.01348462,85,0.0180417237953712,0.00127636011387009,975,975,83.02,8.27431220248804
"95","MGuberl3","0.5","EE",100,0.01356322,85,0.0180417237953712,0.00155200735236342,975,975,82.9,7.39164147103765
"96","MGuberl3","0.25","EE",85,0.01624546,85,0.0180417237953712,0.00580097831094277,975,975,83.76,7.73176577634126
"97","MGuberl5","0.99","EE",100,0.01105966,68,0.00742437918995731,3.66195990859127e-05,957,957,67.17,6.30384682939591
"98","MGuberl5","0.95","EE",98,0.01145925,68,0.00742437918995731,7.40949779494111e-05,957,957,69.54,6.82008323655477
"99","MGuberl5","0.9","EE",99,0.01126317,68,0.00742437918995731,0.000109838651084508,957,957,66.08,6.82194912755804
"100","MGuberl5","0.85","EE",97,0.010674457,68,0.00742437918995731,0.000148162279943866,957,957,66.23,6.58565168231725
"101","MGuberl5","0.8","EE",99,0.01142943,68,0.00742437918995731,0.000190968459362533,957,957,70.44,6.66563628400973
"102","MGuberl5","0.75","EE",99,0.01147063,68,0.00742437918995731,0.000237001933067462,957,957,68.36,6.18816073913189
"103","MGuberl5","0.7","EE",79,0.0137903,68,0.00742437918995731,0.000289569330471518,957,957,65.21,7.60687488095772
"104","MGuberl5","0.65","EE",73,0.01525761,68,0.00742437918995731,0.000355527793611606,957,957,70.94,7.30686684087667
"105","MGuberl5","0.6","EE",81,0.01415868,68,0.00742437918995731,0.000435373726707269,957,957,67.45,8.00804519709947
"106","MGuberl5","0.55","EE",79,0.01421741,68,0.00742437918995731,0.000531432927564028,957,957,67.01,7.41074158968527
"107","MGuberl5","0.5","EE",77,0.01445168,68,0.00742437918995731,0.000640920525360807,957,957,70.13,7.33285811132386
"108","MGuberl5","0.25","EE",24,0.01704838,68,0.00742437918995731,0.00247656207954212,957,957,65.58,6.76171635613385
"109","MGuberl7","0.99","EE",96,0.01165147,73,0.0485476800383076,0.000238419534913833,945,945,70.16,8.62779159917461
"110","MGuberl7","0.95","EE",97,0.01202579,73,0.0485476800383076,0.000490365057287462,945,945,73.19,7.10056904818767
"111","MGuberl7","0.9","EE",99,0.0119025,73,0.0485476800383076,0.000737582084413464,945,945,72.2,7.12797873229717
"112","MGuberl7","0.85","EE",95,0.01224789,73,0.0485476800383076,0.00099122656835515,945,945,72.43,6.75585043880599
