"SiteCode"	"kernel_percentil"	"S.medio"	"S.var"	"p"	"S.obs"	"DA"	"N"	"txt.file"	"kernel_type"	"kernel_code"	"dist_0"	"kernel"	"U"	"U.var"	"KS"	"KS.var"	"KS_p"	"KS_p.var"	"GOF"	"date"
"BAjuss"	0.25	172.3	9.82626864865578	0.859421049020215	182	1198	1198	"ref1426_BA_2297.txt"	"laplace"	"2"	2.88915998328494	5.29395555996236	0.01592218	4.51647503999999e-07	0.0720669058175998	0.000645959964471588	0.70518789500845	0.0828814069646204	100	"yes"
"BAjuss"	0.5	185.43	11.7251822582806	0.859421049020215	182	1198	1198	"ref1426_BA_2297.txt"	"laplace"	"2"	2.88915998328494	3.02143175561715	0.02705866	4.23920647111111e-07	0.0552344392069245	0.000406872937736011	0.86767083582183	0.0321151420282051	100	"yes"
"BAjuss"	0.55	179.16	10.1550803328017	0.859421049020215	182	1198	1198	"ref1426_BA_2297.txt"	"laplace"	"2"	2.88915998328494	2.75121012650216	0.0258233	0	0.0632686559327846	0.000371225155030667	0.801077172903959	0.043426095103341	100	"yes"
"BAjuss"	0.6	181.72	10.9830723746991	0.859421049020215	182	1198	1198	"ref1426_BA_2297.txt"	"laplace"	"2"	2.88915998328494	2.49659303786903	0.0263961	1.79306666666676e-09	0.057296268026328	0.000426409357023504	0.849069412537552	0.0425568702960942	100	"yes"
"BAjuss"	0.65	179.61	11.0608007454846	0.859421049020215	182	1198	1198	"ref1426_BA_2297.txt"	"laplace"	"2"	2.88915998328494	2.2852641963187	0.02581922	8.22286239999999e-08	0.05989395618347	0.000441027292465089	0.828810029154267	0.0457666120192173	100	"yes"
"BAjuss"	0.7	175.22	11.6355255380002	0.859421049020215	182	1198	1198	"ref1426_BA_2297.txt"	"laplace"	"2"	2.88915998328494	2.07092033228581	0.02775694	1.0656002666667e-08	0.072998101444331	0.000680760541733368	0.699112723311742	0.079370627512881	99	"yes"
"BAjuss"	0.75	180.23	11.2796007881216	0.859421049020215	182	1198	1198	"ref1426_BA_2297.txt"	"laplace"	"2"	2.88915998328494	1.87208851299485	0.02910278	2.05491540177778e-06	0.0666657380275214	0.000624833747956722	0.755918806543832	0.068237599632063	99	"yes"
"BAjuss"	0.8	179.99	12.2453825558614	0.859421049020215	182	1198	1198	"ref1426_BA_2297.txt"	"laplace"	"2"	2.88915998328494	1.68254139020012	0.02938566	1.24773376266667e-06	0.0624786222843951	0.00045099937097334	0.799837691998741	0.0482489483976893	100	"yes"
"BAjuss"	0.85	183.04	10.1044244734371	0.859421049020215	182	1198	1198	"ref1426_BA_2297.txt"	"laplace"	"2"	2.88915998328494	1.4934140216617	0.0296357	1.03018406666667e-06	0.0615794214040372	0.000358288043049398	0.821466476885328	0.041564331022517	100	"yes"
"BAjuss"	0.9	184.27	10.9081148553254	0.859421049020215	182	1198	1198	"ref1426_BA_2297.txt"	"laplace"	"2"	2.88915998328494	1.29103575534734	0.03024154	5.47275753777778e-07	0.060516833643679	0.000511553424616459	0.822050216872697	0.0547007170951463	100	"yes"
"BAjuss"	0.95	186.74	10.6871205408447	0.859421049020215	182	1198	1198	"ref1426_BA_2297.txt"	"laplace"	"2"	2.88915998328494	1.05858805874951	0.03069548	3.89221755111112e-07	0.0560431883721883	0.000351666774534862	0.87633906579239	0.0318547835433725	100	"yes"
"BAjuss"	0.99	187.26	10.7389783762543	0.859421049020215	182	1198	1198	"ref1426_BA_2297.txt"	"laplace"	"2"	2.88915998328494	0.740401994717436	0.03038556	1.38028988488889e-06	0.0580905995582923	0.000393096384199596	0.843763261897948	0.0395436038672115	100	"yes"
"BAlenc4"	0.25	60.2	6.662119661477	0.159514416903022	61	866.990291262136	893	"ref1420_BA_2286.txt"	"laplace"	"2"	3.396197069558	6.2581166218205	0.0136963	0	0.231841174562152	0.00195620138023691	0.128373635618122	0.0190610338663276	63	"yes"
"BAlenc4"	0.5	60.45	8.15181085416119	0.159514416903022	61	866.990291262136	893	"ref1420_BA_2286.txt"	"laplace"	"2"	3.396197069558	3.54385375150167	0.01303892	9.18019484444444e-08	0.203179600004535	0.00217694241408247	0.238430817421166	0.0505214972096178	79	"yes"
"BAlenc4"	0.55	59.9	6.95802712082537	0.159514416903022	61	866.990291262136	893	"ref1420_BA_2286.txt"	"laplace"	"2"	3.396197069558	3.22901806095574	0.0111799	0	0.165541972013669	0.0024945433123299	0.456566548074109	0.0969370713755855	94	"yes"
"BAlenc4"	0.6	61.03	6.44237079141999	0.159514416903022	61	866.990291262136	893	"ref1420_BA_2286.txt"	"laplace"	"2"	3.396197069558	2.94545454795078	0.01197783	3.03186802333334e-07	0.166189077365934	0.00194477077901478	0.429543873096942	0.0789232115770007	96	"yes"
"BAlenc4"	0.65	62.47	6.96521661000162	0.159514416903022	61	866.990291262136	893	"ref1420_BA_2286.txt"	"laplace"	"2"	3.396197069558	2.67596948857505	0.01222075	1.09010027777779e-08	0.158250861288856	0.00234793541850086	0.485760758261404	0.0965840275354785	93	"yes"
"BAlenc4"	0.7	63.02	6.86372399435664	0.159514416903022	61	866.990291262136	893	"ref1420_BA_2286.txt"	"laplace"	"2"	3.396197069558	2.43439363154225	0.01204682	1.55750399999997e-09	0.162530365877412	0.00249883426639609	0.462734101622387	0.0890992602548585	92	"yes"
"BAlenc4"	0.75	58.62	7.28743210374317	0.159514416903022	61	866.990291262136	893	"ref1420_BA_2286.txt"	"laplace"	"2"	3.396197069558	2.20072446199996	0.01104252	3.51437511111108e-09	0.160564213061391	0.00256938027521372	0.493599281829045	0.103877137272484	93	"yes"
"BAlenc4"	0.8	59.85	5.41299409296787	0.159514416903022	61	866.990291262136	893	"ref1420_BA_2286.txt"	"laplace"	"2"	3.396197069558	1.97894939096012	0.008657614	9.865007796e-08	0.111746501801017	0.000897954497900797	0.803748700902562	0.0389855706304652	100	"yes"
"BAlenc4"	0.85	59.56	5.86948967891665	0.159514416903022	61	866.990291262136	893	"ref1420_BA_2286.txt"	"laplace"	"2"	3.396197069558	1.7523222500608	0.008622259	3.67189792587778e-07	0.115155912934892	0.000978067864418115	0.777929678713092	0.043189248032822	100	"yes"
"BAlenc4"	0.9	59.19	6.18354773784942	0.159514416903022	61	866.990291262136	893	"ref1420_BA_2286.txt"	"laplace"	"2"	3.396197069558	1.51895010735186	0.008627131	9.84371751565556e-07	0.115434040160388	0.0010000427640395	0.77425624829054	0.0430933704893029	100	"yes"
"BAlenc4"	0.95	57.34	6.46860327140475	0.159514416903022	61	866.990291262136	893	"ref1420_BA_2286.txt"	"laplace"	"2"	3.396197069558	1.23439949060233	0.008031126	5.02848118044445e-08	0.122285645200024	0.000943660718114356	0.74825595015364	0.0430823640699699	100	"yes"
"BAlenc4"	0.99	57.96	6.25052725048783	0.159514416903022	61	866.990291262136	893	"ref1420_BA_2286.txt"	"laplace"	"2"	3.396197069558	0.868743861153187	0.008212588	3.8244091524e-07	0.115998515853443	0.000997853309891232	0.780360882587912	0.0419805626644606	100	"yes"
"BAuruc"	0.25	230.95	11.3006435858559	0.769444718591026	230	1784	1784	"ref1425_BA_2296.txt"	"laplace"	"2"	2.36756861905189	4.34911988609484	0.01919674	5.83705599999996e-09	0.0548228062510813	0.000323186952597249	0.810407470657903	0.0477879579578702	100	"yes"
"BAuruc"	0.5	231.26	12.7212698686376	0.769444718591026	230	1784	1784	"ref1425_BA_2296.txt"	"laplace"	"2"	2.36756861905189	2.48717448407954	0.02215624	3.10411236000001e-07	0.0575074014125594	0.000318507511926665	0.787255673555601	0.044250626743309	99	"yes"
"BAuruc"	0.55	226.76	12.2442482889566	0.769444718591026	230	1784	1784	"ref1425_BA_2296.txt"	"laplace"	"2"	2.36756861905189	2.25459735826264	0.02174406	1.04533440266667e-06	0.0612435757321608	0.000329872881114624	0.741387450599006	0.0602912915885692	100	"yes"
"BAuruc"	0.6	233.82	11.5499617385347	0.769444718591026	230	1784	1784	"ref1425_BA_2296.txt"	"laplace"	"2"	2.36756861905189	2.04798397774527	0.02434484	5.57577242666667e-07	0.059395053225884	0.000289128007162453	0.761342695569885	0.0526405043672242	100	"yes"
"BAuruc"	0.65	226.63	12.5445911721653	0.769444718591026	230	1784	1784	"ref1425_BA_2296.txt"	"laplace"	"2"	2.36756861905189	1.86894183032752	0.0233147	1.605289e-07	0.067646410013257	0.000406624523092365	0.663025796707431	0.0699705920991071	98	"yes"
