"SiteCode"	"kernel"	"rep"	"theta"	"m"
"BAjuss"	"0.25"	"1"	54.5001045284879	0.816523402690561
"BAjuss"	"0.25"	"2"	47.5296946022159	0.638584990935183
"BAjuss"	"0.25"	"3"	100.778078431823	0.181163801691588
"BAjuss"	"0.25"	"4"	67.2201409052184	0.841356605525927
"BAjuss"	"0.25"	"5"	49.7282437175967	0.968613897926851
"BAjuss"	"0.25"	"6"	57.0651647827455	0.654174551399313
"BAjuss"	"0.25"	"7"	63.0339356712817	0.374754951856955
"BAjuss"	"0.25"	"8"	54.7336924824171	0.772955398540985
"BAjuss"	"0.25"	"9"	72.5109122594667	0.444161929572667
"BAjuss"	"0.25"	"10"	82.4145697664942	0.362572464686719
"BAjuss"	"0.25"	"11"	79.3141638658397	0.421934012273882
"BAjuss"	"0.25"	"12"	57.5222561383282	0.754468308179215
"BAjuss"	"0.25"	"13"	61.0403117393119	0.812354780017402
"BAjuss"	"0.25"	"14"	68.6528350626534	0.496527123624956
"BAjuss"	"0.25"	"15"	226.43479232948	0.0900289681576887
"BAjuss"	"0.25"	"16"	58.974911010364	0.872079473248945
"BAjuss"	"0.25"	"17"	60.5680821892025	0.618748584470928
"BAjuss"	"0.25"	"18"	58.8706611158404	0.546951635851759
"BAjuss"	"0.25"	"19"	63.6883075681343	0.606581472049867
"BAjuss"	"0.25"	"20"	58.2499308911464	0.669942625292021
"BAjuss"	"0.25"	"21"	70.6104048045109	0.444717081138939
"BAjuss"	"0.25"	"22"	60.2527987989021	0.595300362614528
"BAjuss"	"0.25"	"23"	56.1681535349597	0.999648351087293
"BAjuss"	"0.25"	"24"	64.7638491963069	0.660417665239877
"BAjuss"	"0.25"	"25"	66.0156285514717	0.502450602661201
"BAjuss"	"0.25"	"26"	47.6643900260183	0.807551338555065
"BAjuss"	"0.25"	"27"	55.6362574518894	0.909630260577607
"BAjuss"	"0.25"	"28"	143.802744534632	0.0813304541482065
"BAjuss"	"0.25"	"29"	71.2945220782477	0.255340268925357
"BAjuss"	"0.25"	"30"	60.6200440025656	0.637268375419506
"BAjuss"	"0.25"	"31"	225.017627399585	0.0852844529402847
"BAjuss"	"0.25"	"32"	62.7933186661061	0.74754985457679
"BAjuss"	"0.25"	"33"	59.985760058881	0.658096428009519
"BAjuss"	"0.25"	"34"	54.2992668951575	0.829039381620891
"BAjuss"	"0.25"	"35"	107.136185572195	0.179049539834489
"BAjuss"	"0.25"	"36"	210.261298814655	0.0860491254932877
"BAjuss"	"0.25"	"37"	63.1126872929378	0.780119020567339
"BAjuss"	"0.25"	"38"	97.1225365664533	0.174690207900638
"BAjuss"	"0.25"	"39"	61.3460729492529	0.71780538037997
"BAjuss"	"0.25"	"40"	63.109838003887	0.690966028574916
"BAjuss"	"0.25"	"41"	135.485809535632	0.132925082201653
"BAjuss"	"0.25"	"42"	65.9749672601126	0.464410677085863
"BAjuss"	"0.25"	"43"	57.7097432982449	0.858871664306332
"BAjuss"	"0.25"	"44"	43.4078826906248	0.996442405071828
"BAjuss"	"0.25"	"45"	209.406450809722	0.0774349796247787
"BAjuss"	"0.25"	"46"	53.0598415386489	0.997664851400207
"BAjuss"	"0.25"	"47"	71.2434779751973	0.379555100718358
"BAjuss"	"0.25"	"48"	82.8133234381304	0.247871494225828
"BAjuss"	"0.25"	"49"	62.2055074635933	0.638027818561505
"BAjuss"	"0.25"	"50"	71.4972974940186	0.246670138154111
"BAjuss"	"0.25"	"51"	69.338858920541	0.276751674511288
"BAjuss"	"0.25"	"52"	52.1473440848046	0.881309997358497
"BAjuss"	"0.25"	"53"	55.335962376163	0.617546800835827
"BAjuss"	"0.25"	"54"	54.2739681962345	0.930786535978959
"BAjuss"	"0.25"	"55"	191.195567313555	0.0802767257666735
"BAjuss"	"0.25"	"56"	58.0515130358094	0.656011735255191
"BAjuss"	"0.25"	"57"	63.5896869444256	0.486133202151073
"BAjuss"	"0.25"	"58"	54.8121588059015	0.99987269791242
"BAjuss"	"0.25"	"59"	69.039123261682	0.549032064989615
"BAjuss"	"0.25"	"60"	68.8670107512823	0.384986580195308
"BAjuss"	"0.25"	"61"	61.1388459766778	0.543722716463872
"BAjuss"	"0.25"	"62"	86.0705419746171	0.214418464728584
"BAjuss"	"0.25"	"63"	71.0349152087018	0.4372428270239
"BAjuss"	"0.25"	"64"	60.0797046716093	0.660064630688975
"BAjuss"	"0.25"	"65"	63.3245182189484	0.681852950116046
"BAjuss"	"0.25"	"66"	76.2776854469775	0.551546315924272
"BAjuss"	"0.25"	"67"	59.4708354122406	0.644824965984234
"BAjuss"	"0.25"	"68"	53.8083983555073	0.714867654941145
"BAjuss"	"0.25"	"69"	58.4202062326348	0.846266176927441
"BAjuss"	"0.25"	"70"	52.7342270473686	0.982180189236354
"BAjuss"	"0.25"	"71"	60.3327505995466	0.770161505193161
"BAjuss"	"0.25"	"72"	58.9134045487822	0.875952972366335
"BAjuss"	"0.25"	"73"	58.5111921482053	0.661590061383071
"BAjuss"	"0.25"	"74"	66.9456909114826	0.527947982387536
"BAjuss"	"0.25"	"75"	60.6804471627814	0.637359765131338
"BAjuss"	"0.25"	"76"	58.7241001489332	0.884357129815193
"BAjuss"	"0.25"	"77"	55.3310199230035	0.999808098119503
"BAjuss"	"0.25"	"78"	88.6318436313828	0.290457492620787
"BAjuss"	"0.25"	"79"	57.7470880998541	0.604163648961357
"BAjuss"	"0.25"	"80"	59.4450966509015	0.999884686896415
"BAjuss"	"0.25"	"81"	52.9202722087215	0.999666211061095
"BAjuss"	"0.25"	"82"	53.7889463165911	0.900948041257363
"BAjuss"	"0.25"	"83"	74.9613600924441	0.47318376017334
"BAjuss"	"0.25"	"84"	69.0768581156029	0.503130848429598
"BAjuss"	"0.25"	"85"	63.307389666574	0.99988643685574
"BAjuss"	"0.25"	"86"	71.2068964018138	0.586190043529783
"BAjuss"	"0.25"	"87"	197.163696942772	0.0902030281306865
"BAjuss"	"0.25"	"88"	58.3392488095	0.646508044337508
"BAjuss"	"0.25"	"89"	61.4195481504256	0.672555134249185
"BAjuss"	"0.25"	"90"	62.7970010744418	0.561114347588854
"BAjuss"	"0.25"	"91"	65.3262994753801	0.666059798207816
"BAjuss"	"0.25"	"92"	60.0365523884157	0.811175290621389
"BAjuss"	"0.25"	"93"	71.3859003463539	0.420016730910847
"BAjuss"	"0.25"	"94"	56.6532537261812	0.606890274715823
"BAjuss"	"0.25"	"95"	65.6831308476581	0.836386830811336
"BAjuss"	"0.25"	"96"	88.2100794469065	0.183972668934074
"BAjuss"	"0.25"	"97"	78.3540175519916	0.588225062999399
